WKT,PERIMETER,LEVEL4,LEVEL2,LEVEL1,LEVEL3,XCentroid,YCentroid
"POINT (102951.84543299999 585603.746884)",3920.18610232000,01.002.000700.6,01.002,01,01.002.000700,102951.84543299999,585603.74688400002
"POINT (103860.655949 585572.02141499997)",3130.86509319000,01.002.000700.7,01.002,01,01.002.000700,103860.65594900001,585572.02141499997
"POINT (104926.112863 585244.95755)",3060.50461849000,01.002.000800.1,01.002,01,01.002.000800,104926.11286300000,585244.95755000005
"POINT (104457.477196 584775.291144)",3696.94033206000,01.002.000800.2,01.002,01,01.002.000800,104457.47719600001,584775.29114400002
"POINT (102734.79849299999 584979.57235699997)",2397.74381715000,01.002.000800.3,01.002,01,01.002.000800,102734.79849299999,584979.57235699997
"POINT (103085.487 584636.610982)",4270.30797718000,01.002.000800.4,01.002,01,01.002.000800,103085.48699999999,584636.61098200001
"POINT (103931.164986 584721.39602)",3700.50910384000,01.002.000800.5,01.002,01,01.002.000800,103931.16498600000,584721.39601999999
"POINT (101411.330446 583988.517995)",6939.98710849000,01.002.000800.6,01.002,01,01.002.000800,101411.33044600001,583988.51799500000
"POINT (105203.089378 584281.622921)",3878.74349997000,01.002.000800.7,01.002,01,01.002.000800,105203.08937800000,584281.62292100000
"POINT (104021.662842 583852.305546)",7214.07141137000,01.002.000900.1,01.002,01,01.002.000900,104021.66284200001,583852.30554600002
"POINT (104898.21346499999 583080.353903)",5881.23570216000,01.002.000900.2,01.002,01,01.002.000900,104898.21346499999,583080.35390300001
"POINT (103707.891262 582891.144478)",3906.15493235000,01.002.000900.3,01.002,01,01.002.000900,103707.89126200000,582891.14447800000
"POINT (105586.13484 582219.60767)",6190.19645975000,01.002.000900.4,01.002,01,01.002.000900,105586.13484000000,582219.60767000006
"POINT (103651.02999 582163.42403899995)",2802.08050091000,01.002.000900.5,01.002,01,01.002.000900,103651.02999000000,582163.42403899995
"POINT (104580.116419 582140.49834699999)",2778.27605839000,01.002.000900.6,01.002,01,01.002.000900,104580.11641900000,582140.49834699999
"POINT (103653.474681 581701.514772)",2818.61285185000,01.002.000900.7,01.002,01,01.002.000900,103653.47468100001,581701.51477200002
"POINT (104584.11541699999 581675.82611499995)",2753.43850469000,01.002.000900.8,01.002,01,01.002.000900,104584.11541699999,581675.82611499995
"POINT (105295.84073 581395.093906)",3373.61340139000,01.002.000900.9,01.002,01,01.002.000900,105295.84073000000,581395.09390600002
"POINT (102542.44507099999 583939.28476199997)",2560.33639300000,01.002.001000.1,01.002,01,01.002.001000,102542.44507099999,583939.28476199997
"POINT (102913.860543 583765.30128699995)",4185.44422097000,01.002.001000.2,01.002,01,01.002.001000,102913.86054300000,583765.30128699995
"POINT (102034.356528 583594.11999699997)",3095.16608672000,01.002.001000.3,01.002,01,01.002.001000,102034.35652800000,583594.11999699997
"POINT (102838.525247 582970.10356)",4540.75556558000,01.002.001000.4,01.002,01,01.002.001000,102838.52524700000,582970.10355999996
"POINT (102226.189704 582168.803405)",5187.63128193000,01.002.001000.5,01.002,01,01.002.001000,102226.18970400000,582168.80340500001
"POINT (102813.943729 582197.285717)",2510.05619448000,01.002.001000.6,01.002,01,01.002.001000,102813.94372900001,582197.28571700002
"POINT (102835.475937 581726.82505)",2288.06005101000,01.002.001000.7,01.002,01,01.002.001000,102835.47593700000,581726.82504999998
"POINT (99607.794971686628 581087.57455441856)",14603.63078460000,01.002.001100.1,01.002,01,01.002.001100,99164.93197830000,580378.99376500002
"POINT (97573.284781559967 578852.58786099998)",4262.56766458000,01.002.001100.2,01.002,01,01.002.001100,97511.82708050001,578852.58786099998
"POINT (97454.652889389821 577964.40664747008)",7034.58199586000,01.002.001100.3,01.002,01,01.002.001100,97055.17783250001,577995.13549799996
"POINT (96406.004601799999 577276.68385699997)",2666.27364042000,01.002.001100.4,01.002,01,01.002.001100,96406.00460180000,577276.68385699997
"POINT (97964.948332200001 577333.64320799999)",3198.75117239000,01.002.001100.5,01.002,01,01.002.001100,97964.94833220000,577333.64320799999
"POINT (97243.245623089955 577249.09557647002)",3553.00235191000,01.002.001100.6,01.002,01,01.002.001100,97151.05907150000,577279.82442700001
"POINT (101264.74747 581933.546529)",10041.67478960000,01.002.001100.7,01.002,01,01.002.001100,101264.74747000000,581933.54652900004
"POINT (102824.512436 581264.778992)",2309.75811709000,01.002.001200.1,01.002,01,01.002.001200,102824.51243600000,581264.77899200004
"POINT (103644.1297 581241.52636899997)",2823.00376984000,01.002.001200.2,01.002,01,01.002.001200,103644.12970000000,581241.52636899997
"POINT (104540.874026 581042.518717)",3631.77343303000,01.002.001200.3,01.002,01,01.002.001200,104540.87402600000,581042.51871700003
"POINT (101603.80402 580831.96477099997)",3339.95162299000,01.002.001200.4,01.002,01,01.002.001200,101603.80402000000,580831.96477099997
"POINT (102236.84169299999 580836.430015)",2716.98831795000,01.002.001200.5,01.002,01,01.002.001200,102236.84169299999,580836.43001500005
"POINT (102819.236317 580810.59773599997)",2284.10589397000,01.002.001200.6,01.002,01,01.002.001200,102819.23631700000,580810.59773599997
"POINT (103672.605874 580610.04566)",2756.96619052000,01.002.001200.7,01.002,01,01.002.001200,103672.60587400000,580610.04565999995
"POINT (104471.638118 580367.80889)",2665.05842958000,01.002.001300.2,01.002,01,01.002.001300,104471.63811800000,580367.80888999999
"POINT (102917.56544 579886.89166099997)",3695.36254078000,01.002.001300.3,01.002,01,01.002.001300,102917.56544000001,579886.89166099997
"POINT (103733.619508 579697.42359499994)",2809.46781963000,01.002.001300.4,01.002,01,01.002.001300,103733.61950800000,579697.42359499994
"POINT (104959.07135 578252.59929)",6079.05412439000,01.002.001300.5,01.002,01,01.002.001300,104959.07135000000,578252.59929000004
"POINT (102753.01507205998 578060.88458811981)",3990.64271486000,01.002.001300.6,01.002,01,01.002.001300,102691.55737100000,577937.96918599994
"POINT (103884.54851788006 577599.49362970993)",5980.49086173000,01.002.001300.8,01.002,01,01.002.001300,104007.46391999999,577384.39167599997
"POINT (102824.51821811018 578751.91710199998)",2744.13751029000,01.002.001300.9,01.002,01,01.002.001300,103223.99327500000,578751.91710199998
"POINT (101516.74123299999 579837.206123)",4183.77928309000,01.002.001400.1,01.002,01,01.002.001400,101516.74123299999,579837.20612300001
"POINT (102221.25576299999 579825.32079499995)",3265.75245715000,01.002.001400.2,01.002,01,01.002.001400,102221.25576299999,579825.32079499995
"POINT (100598.23649641004 578350.5712160503)",8646.16394043000,01.002.001400.3,01.002,01,01.002.001400,100690.42304800000,578811.50397399999
"POINT (99698.430638970007 578577.47298735986)",7152.67580054000,01.002.001400.4,01.002,01,01.002.001400,99729.15948950000,578208.72678100003
"POINT (101834.924427 578691.430058)",4166.05346872000,01.002.001400.5,01.002,01,01.002.001400,101834.92442700001,578691.43005800003
"POINT (99813.725418580201 576471.06026135013)",12262.57661640000,01.002.001600.3,01.002,01,01.002.001600,100243.92932600000,576624.70451399998
"POINT (101825.403432 577583.500734)",4833.04685668000,01.002.001400.7,01.002,01,01.002.001400,101825.40343200001,577583.50073400000
"POINT (99216.709989199997 577728.00400723983)",4585.56222947000,01.002.001400.8,01.002,01,01.002.001400,99216.70998920000,577482.17320299998
"POINT (101241.867684 577122.55967)",3118.15668468000,01.002.001400.9,01.002,01,01.002.001400,101241.86768400000,577122.55966999999
"POINT (102858.00038446026 576775.32674788986)",10133.46071940000,01.002.001300.7,01.002,01,01.002.001300,103411.11969399999,576375.85169100005
"POINT (105281.39602299999 576048.94009299995)",8757.12199351000,01.002.001500.2,01.002,01,01.002.001500,105281.39602299999,576048.94009299995
"POINT (102967.96440164994 575487.24861341005)",3493.42182143000,01.002.001500.3,01.002,01,01.002.001500,102814.32014900001,575579.43516500003
"POINT (102374.78157634033 574613.87219806004)",11533.99418610000,01.002.001500.4,01.002,01,01.002.001500,103050.81628800000,574552.41449700005
"POINT (105417.992344 574574.73490399995)",4679.23464882000,01.002.001500.5,01.002,01,01.002.001500,105417.99234400000,574574.73490399995
"POINT (106423.092978 574091.715973)",6012.99261794000,01.002.001500.6,01.002,01,01.002.001500,106423.09297800000,574091.71597300004
"POINT (102718.48330966319 573007.38589357294)",17690.49812930000,01.002.001500.7,01.002,01,01.002.001500,103416.52774200001,572708.22399400000
"POINT (105011.61077499999 573029.86465799995)",11680.53898350000,01.002.001500.8,01.002,01,01.002.001500,105011.61077499999,573029.86465799995
"POINT (98650.336713559969 576406.86264576018)",6443.12758326000,01.002.001600.1,01.002,01,01.002.001600,98588.87901249999,576652.69345000002
"POINT (96126.883078700004 576378.98919182981)",5271.33958094000,01.002.001600.2,01.002,01,01.002.001600,96126.88307870000,576040.97183599998
"POINT (101523.64605 576651.262613)",3579.71801789000,01.002.001400.6,01.002,01,01.002.001400,101523.64605000000,576651.26261300000
"POINT (100825.160147 576042.39293099998)",4686.30435113000,01.002.001600.4,01.002,01,01.002.001600,100825.16014700000,576042.39293099998
"POINT (101545.22157029012 575968.31816894002)",2934.00124570000,01.002.001500.1,01.002,01,01.002.001500,101760.32352400001,576029.77587000001
"POINT (99465.713717710023 575390.33134270983)",8323.83483036000,01.002.001600.6,01.002,01,01.002.001600,99557.90026929999,575175.22938899999
"POINT (96245.401761700006 574712.59849799995)",3109.88992679000,01.002.001600.7,01.002,01,01.002.001600,96245.40176170001,574712.59849799995
"POINT (96737.638244300004 574777.07201)",3080.75461719000,01.002.001600.8,01.002,01,01.002.001600,96737.63824430000,574777.07201000000
"POINT (90577.528162536037 572200.90865625883)",13569.06711760000,01.002.001700.1,01.002,01,01.002.001700,91108.96375460000,572820.91684700001
"POINT (93747.11335498195 572134.75150585407)",9173.60856139000,01.002.001700.2,01.002,01,01.002.001700,93547.67208860000,572733.07530499995
"POINT (94816.820944870153 573274.23445023014)",5976.20142501000,01.002.001700.3,01.002,01,01.002.001700,95154.83830069999,573550.79410499998
"POINT (96341.603932900005 573541.498765)",4323.16160878000,01.002.001700.4,01.002,01,01.002.001700,96341.60393290001,573541.49876500003
"POINT (95508.637850159823 572264.81723871001)",6432.46925116000,01.002.001700.5,01.002,01,01.002.001700,95139.89164380000,572049.71528500004
"POINT (96350.706751599995 572035.553731)",4828.49828478000,01.002.001700.6,01.002,01,01.002.001700,96350.70675160000,572035.55373100005
"POINT (91823.353875194764 570489.60428877326)",13695.90035150000,01.002.001700.7,01.002,01,01.002.001700,92974.79765800000,569603.87830200000
"POINT (95403.572987469859 570903.19081405993)",4864.36030444000,01.002.001700.8,01.002,01,01.002.001700,95127.01333269999,570841.73311300005
"POINT (94714.090282810183 569941.64256629988)",6472.11144849000,01.002.001700.9,01.002,01,01.002.001700,95113.56533970000,569634.35406100005
"POINT (98424.176518280045 575124.82016476989)",6088.06693538000,01.002.001800.1,01.002,01,01.002.001800,98547.09192040000,574848.26051000005
"POINT (97542.227091319932 574947.79905365)",3925.04621223000,01.002.001800.2,01.002,01,01.002.001800,97419.31168920000,574794.15480100003
"POINT (101551.42289145058 570067.01618951757)",23598.58322160000,01.002.001800.3,01.002,01,01.002.001800,100577.12430600000,571307.03257100005
"POINT (97238.108781600007 573947.54680899996)",3390.76057621000,01.002.001800.4,01.002,01,01.002.001800,97238.10878160001,573947.54680899996
"POINT (104944.88585938663 568446.09157522675)",22290.28648420000,01.002.001800.5,01.002,01,01.002.001800,104502.02286600000,569331.81756200001
"POINT (97462.414961279908 573360.25529711996)",3706.28696894000,01.002.001800.6,01.002,01,01.002.001800,97278.04185810000,573237.33989499998
"POINT (97408.048718519931 572309.0478668802)",3748.15403122000,01.002.001800.7,01.002,01,01.002.001800,97285.13331640000,572431.96326900006
"POINT (97446.44751944991 571654.89352753002)",3828.91592275000,01.002.001800.8,01.002,01,01.002.001800,97292.80326679999,571624.16467700002
"POINT (96581.370902199997 570083.85050399997)",7623.08796692000,01.002.001900.1,01.002,01,01.002.001900,96581.37090220000,570083.85050399997
"POINT (97256.876568499996 570656.19718699995)",4213.80186055000,01.002.001900.2,01.002,01,01.002.001900,97256.87656850000,570656.19718699995
"POINT (98004.842397800006 570374.59333099995)",5037.99587044000,01.002.001900.3,01.002,01,01.002.001900,98004.84239780001,570374.59333099995
"POINT (98556.619970739892 567865.54538205022)",7400.43891592000,01.002.001900.4,01.002,01,01.002.001900,98310.78916650001,568326.47814000002
"POINT (98276.359470199997 569557.505036)",3880.80340107000,01.002.001900.5,01.002,01,01.002.001900,98276.35947020000,569557.50503600005
"POINT (98915.446210900001 569070.70384)",5186.74928396000,01.002.001900.6,01.002,01,01.002.001900,98915.44621090000,569070.70383999997
"POINT (100367.96786511994 568432.29708265001)",5212.14903347000,01.002.001900.7,01.002,01,01.002.001900,100245.05246300000,568278.65283000004
"POINT (99027.722283360126 568397.89213817997)",4403.83791158000,01.002.001900.8,01.002,01,01.002.001900,99273.55308760000,568213.51903500000
"POINT (97251.714385572923 567909.84602961817)",8455.77218931000,01.002.002000.1,01.002,01,01.002.002000,96952.55248600000,568109.28729600005
"POINT (94927.660340277318 565906.59055929084)",9587.88219425000,01.002.002000.2,01.002,01,01.002.002000,94839.08774160000,566260.88095400005
"POINT (96607.058336926755 565165.8151646133)",12642.62179840000,01.002.002000.3,01.002,01,01.002.002000,97492.78432370001,565608.67815800000
"POINT (97673.947527190699 560489.67373284011)",16241.42287130000,01.002.002000.4,01.002,01,01.002.002000,98028.23792190000,561818.26271299995
"POINT (95326.446732839875 568436.81534388987)",6444.03351895000,01.002.002000.5,01.002,01,01.002.002000,95080.61592860000,568037.34028700006
"POINT (102363.96329195487 567905.248201)",6969.14570947000,01.002.002100.1,01.002,01,01.002.002100,101865.36012600000,567905.24820100004
"POINT (100426.313796 566498.236168)",7341.50667670000,01.002.002100.2,01.002,01,01.002.002100,100426.31379600000,566498.23616800003
"POINT (99443.885394500001 565928.02151711017)",6331.77035588000,01.002.002100.3,01.002,01,01.002.002100,99443.88539450000,566327.49657399999
"POINT (99917.57115598995 566298.71474288008)",3213.17181919000,01.002.002100.5,01.002,01,01.002.002100,99825.38460440000,566421.63014499994
"POINT (102394.33959488005 566292.79499246995)",5593.82833515000,01.002.002100.7,01.002,01,01.002.002100,102517.25499700000,566323.52384299994
"POINT (104803.24345304513 565501.7225241909)",6237.63096025000,01.002.002100.8,01.002,01,01.002.002100,105301.84661900000,565402.00189099996
"POINT (102355.866129 565140.91610699997)",4614.94378317000,01.002.002200.1,01.002,01,01.002.002200,102355.86612900000,565140.91610699997
"POINT (101371.76438223988 563839.35771511018)",8188.56064841000,01.002.002200.2,01.002,01,01.002.002200,101125.93357800000,564238.83277199999
"POINT (101573.0299251102 564948.49185177963)",9799.10006750000,01.002.002200.3,01.002,01,01.002.002200,101972.50498200000,564149.54173800000
"POINT (100766.95580967962 562959.82938305021)",11611.79766200000,01.002.002200.4,01.002,01,01.002.002200,99968.00569590001,563420.76214100001
"POINT (103447.82381341004 564706.61652424955)",6103.66578387000,01.002.002200.5,01.002,01,01.002.002200,103540.01036499999,563938.39526100003
"POINT (101050.58601522676 558769.31271990412)",24210.53191690000,01.002.002200.6,01.002,01,01.002.002200,101936.31200200001,559566.46610800002
"POINT (106844.30975011994 561155.83015987999)",4760.83986418000,01.002.002300.2,01.002,01,01.002.002300,106721.39434800000,561278.74556199997
"POINT (104286.49258182007 561171.1683262398)",4299.97567099000,01.002.002300.3,01.002,01,01.002.002300,104470.86568500000,560925.33752199996
"POINT (105199.98745123013 561223.10589064995)",4930.10289936000,01.002.002300.4,01.002,01,01.002.002300,105476.54710600000,561069.46163799998
"POINT (106223.138829 560406.47408399999)",5528.79524900000,01.002.002300.5,01.002,01,01.002.002300,106223.13882900000,560406.47408399999
"POINT (105444.36061105022 562843.401285)",6025.90498163000,01.002.002300.7,01.002,01,01.002.002300,105905.29336900001,562843.40128500003
"POINT (105898.30902711993 558943.17311082978)",6109.28348613000,01.002.002300.8,01.002,01,01.002.002300,105775.39362500000,558605.15575499996
"POINT (61352.473923966136 562756.42744171806)",185345.80724600001,01.003.003300.1,01.003,01,01.003.003300,64336.85051550000,554549.39181499998
"POINT (90552.701496343521 559852.95989086526)",58510.72970170000,01.003.003400.1,01.003,01,01.003.003400,89742.00222650000,558798.42379100004
"POINT (81990.752124194754 553618.54709096521)",44985.31161560000,01.003.003400.2,01.003,01,01.003.003400,83142.19590700000,551138.51432800002
"POINT (88886.236197718594 552764.98577925877)",20220.17813440000,01.003.003400.3,01.003,01,01.003.003400,88177.65540829999,553384.99396999995
"POINT (92519.898042927918 555532.56568338652)",16656.44128750000,01.003.003400.4,01.003,01,01.003.003400,91457.02685880000,555089.70268999995
"POINT (96796.349011700004 550637.773089)",24502.20450080000,01.003.003400.5,01.003,01,01.003.003400,96796.34901170000,550637.77308900002
"POINT (89604.022752505305 547855.31332050555)",55622.17638120000,01.003.003400.6,01.003,01,01.003.003400,85346.18362370000,543420.06422800000
"POINT (109284.03033103199 575586.6371184506)",24109.72715880000,01.004.011100.1,01.004,01,01.004.011100,109018.31253500000,574612.33853299997
"POINT (110818.74586448257 570989.53560270928)",22633.31377530000,01.004.011100.2,01.004,01,01.004.011100,109578.72948300000,570635.24520799995
"POINT (106361.31357958021 571410.37703893997)",8387.16729010000,01.004.011100.3,01.004,01,01.004.011100,106791.51748700000,571471.83473999996
"POINT (109886.61754374129 567548.80189486919)",23488.45288850000,01.004.011100.4,01.004,01,01.004.011100,109266.60935300001,565865.92252000002
"POINT (108733.28415234033 562064.58163341985)",23703.24701310000,01.004.011100.5,01.004,01,01.004.011100,109409.31886400000,561634.37772600004
"POINT (111283.50388632636 558654.07313701045)",38689.52024300000,01.004.011200.1,01.004,01,01.004.011200,112679.59275100000,556559.93984000001
"POINT (107489.02674076012 558368.27430340997)",6614.35437166000,01.004.011200.2,01.004,01,01.004.011200,107734.85754500001,558460.46085499995
"POINT (105395.44996390118 554790.57487057848)",41975.86535150000,01.004.011200.3,01.004,01,01.004.011200,103446.85279300000,552753.40510099998
"POINT (108368.36891 556502.6972270502)",10522.09414930000,01.004.011200.4,01.004,01,01.004.011200,108368.36891000000,556963.62998500001
"POINT (109462.70620864994 555658.36029135017)",7243.93901742000,01.004.011200.5,01.004,01,01.004.011200,109309.06195600001,555812.00454400002
"POINT (108787.18507288006 554546.69007123983)",5197.36119625000,01.004.011200.6,01.004,01,01.004.011200,108910.10047500000,554300.85926699999
"POINT (107624.855989 549866.258424)",20227.61443030000,01.004.011300.1,01.004,01,01.004.011300,107624.85598900000,549866.25842400000
"POINT (110672.7545628721 551945.38182635466)",19009.18403140000,01.004.011300.2,01.004,01,01.004.011300,111735.62574700000,551768.23662900005
"POINT (114877.18981851454 549943.51431674126)",23050.77049270000,01.004.011300.3,01.004,01,01.004.011300,113371.45564099999,549323.50612599996
"POINT (109139.112673 550544.24512099999)",6893.47468259000,01.004.011300.4,01.004,01,01.004.011300,109139.11267300000,550544.24512099999
"POINT (110148.747221 549914.259313)",4317.76453030000,01.004.011300.5,01.004,01,01.004.011300,110148.74722100000,549914.25931300002
"POINT (109424.053338 548919.511821)",4883.65436788000,01.004.011400.1,01.004,01,01.004.011400,109424.05333800000,548919.51182100002
"POINT (109441.660795 548025.85692799999)",5141.43556655000,01.004.011400.2,01.004,01,01.004.011400,109441.66079500000,548025.85692799999
"POINT (109423.405641 547186.98137)",4709.28277373000,01.004.011400.3,01.004,01,01.004.011400,109423.40564100000,547186.98137000005
"POINT (107303.100455 546150.07284699997)",4399.54746239000,01.004.011400.4,01.004,01,01.004.011400,107303.10045500001,546150.07284699997
"POINT (110615.585521 546125.24949299998)",3123.49622856000,01.004.011400.5,01.004,01,01.004.011400,110615.58552100000,546125.24949299998
"POINT (108116.48195099999 546197.36860199994)",4282.65918960000,01.004.011400.6,01.004,01,01.004.011400,108116.48195099999,546197.36860199994
"POINT (109944.409122 546108.716248)",4002.09494552000,01.004.011400.7,01.004,01,01.004.011400,109944.40912200000,546108.71624800004
"POINT (109023.594352 545738.742409)",4086.31183044000,01.004.011400.8,01.004,01,01.004.011400,109023.59435200000,545738.74240900006
"POINT (109132.88925 546437.66847899999)",3778.34371490000,01.004.011400.9,01.004,01,01.004.011400,109132.88924999999,546437.66847899999
"POINT (107474.85755 543184.837244)",6728.39740630000,01.004.011500.2,01.004,01,01.004.011500,107474.85755000000,543184.83724400005
"POINT (108859.253435 545190.42246499995)",3579.56536139000,01.004.011500.3,01.004,01,01.004.011500,108859.25343500001,545190.42246499995
"POINT (110532.606161 544889.358511)",3512.36382385000,01.004.011500.4,01.004,01,01.004.011500,110532.60616100000,544889.35851100006
"POINT (111346.704575 544828.748476)",4381.34823962000,01.004.011500.5,01.004,01,01.004.011500,111346.70457500000,544828.74847600004
"POINT (109856.367065 545142.97446599999)",2608.81675135000,01.004.011500.6,01.004,01,01.004.011500,109856.36706500000,545142.97446599999
"POINT (108803.0005 544233.14303299994)",3895.64685222000,01.004.011500.7,01.004,01,01.004.011500,108803.00049999999,544233.14303299994
"POINT (109857.671337 544627.444311)",2764.42119588000,01.004.011500.8,01.004,01,01.004.011500,109857.67133700001,544627.44431100006
"POINT (107534.66759 544919.06191499997)",4774.49853436000,01.004.011500.9,01.004,01,01.004.011500,107534.66759000000,544919.06191499997
"POINT (109518.339633 543883.124405)",3053.62397624000,01.004.011600.1,01.004,01,01.004.011600,109518.33963300000,543883.12440500001
"POINT (110723.84201199999 544005.334889)",3374.59148349000,01.004.011600.2,01.004,01,01.004.011600,110723.84201199999,544005.33488900005
"POINT (111604.275199 543577.180039)",4387.35160813000,01.004.011600.3,01.004,01,01.004.011600,111604.27519900000,543577.18003900000
"POINT (111047.931975 543149.219622)",6578.09374068000,01.004.011600.4,01.004,01,01.004.011600,111047.93197500000,543149.21962200000
"POINT (109718.558537 543459.026819)",2985.79028188000,01.004.011600.5,01.004,01,01.004.011600,109718.55853700000,543459.02681900002
"POINT (109573.72868499999 543089.601841)",3376.70799292000,01.004.011600.6,01.004,01,01.004.011600,109573.72868499999,543089.60184100003
"POINT (110600.244553 542571.71029399999)",2879.84610254000,01.004.011600.7,01.004,01,01.004.011600,110600.24455300000,542571.71029399999
"POINT (111551.187365 542507.971616)",4762.62042192000,01.004.011600.8,01.004,01,01.004.011600,111551.18736500001,542507.97161600005
"POINT (110828.638795 541662.906132)",7198.22419808000,01.004.011600.9,01.004,01,01.004.011600,110828.63879500001,541662.90613200003
