year,sex,age,level1,level2,level3,level4,icd,total
1989,F,26,01,01.008,01.008.008300,01.008.008300.7,1749,2
1989,F,26,01,01.002,01.002.001900,01.002.001900.5,1886,2
1989,F,27,01,01.002,01.002.000500,01.002.000500.6,1741,2
1989,F,27,01,01.008,01.008.010400,01.008.010400.4,1744,2
1989,F,27,01,01.011,01.011.014600,01.011.014600.6,1744,2
1989,F,27,01,01.014,01.014.017900,01.014.017900.2,1749,2
1989,F,27,01,01.013,01.013.016200,01.013.016200.7,1913,2
1989,F,28,01,01.013,01.013.016400,01.013.016400.2,1749,2
1989,F,28,01,01.011,01.011.013200,01.011.013200.3,1913,2
1989,F,29,01,01.014,01.014.017700,01.014.017700.7,1744,2
1989,F,29,01,01.008,01.008.008700,01.008.008700.2,1749,2
1989,F,29,01,01.014,01.014.017700,01.014.017700.4,1916,2
1989,F,30,01,01.002,01.002.000600,01.002.000600.5,1741,2
1989,F,30,01,01.018,01.018.019100,01.018.019100.3,1741,2
1989,F,30,01,01.002,01.002.001100,01.002.001100.2,1744,2
1989,F,30,01,01.002,01.002.000800,01.002.000800.1,1746,2
1989,F,30,01,01.002,01.002.001000,01.002.001000.2,1749,2
1989,F,30,01,01.002,01.002.001100,01.002.001100.3,1749,2
1989,F,30,01,01.008,01.008.008700,01.008.008700.2,1749,2
1989,F,30,01,01.011,01.011.013300,01.011.013300.4,1749,2
1989,F,31,01,01.008,01.008.008900,01.008.008900.5,1629,2
1989,F,31,01,01.018,01.018.019500,01.018.019500.1,1746,2
1989,F,31,01,01.008,01.008.010700,01.008.010700.5,1748,2
1989,F,31,01,01.002,01.002.001800,01.002.001800.7,1749,2
1989,F,31,01,01.008,01.008.004200,01.008.004200.5,1749,2
1989,F,31,01,01.008,01.008.005700,01.008.005700.1,1749,2
1989,F,31,01,01.008,01.008.006800,01.008.006800.4,1749,4
1989,F,31,01,01.008,01.008.007700,01.008.007700.2,1749,2
1989,F,31,01,01.008,01.008.008900,01.008.008900.5,1749,2
1989,F,31,01,01.002,01.002.000600,01.002.000600.9,1913,2
1989,F,31,01,01.008,01.008.006800,01.008.006800.1,1916,2
1989,F,31,01,01.002,01.002.002000,01.002.002000.5,1918,2
1989,F,32,01,01.002,01.002.000600,01.002.000600.4,1742,2
1989,F,32,01,01.013,01.013.016500,01.013.016500.1,1743,2
1989,F,32,01,01.008,01.008.005100,01.008.005100.1,1744,2
1989,F,32,01,01.013,01.013.016700,01.013.016700.7,1744,2
1989,F,32,01,01.018,01.018.019100,01.018.019100.3,1745,2
1989,F,32,01,01.008,01.008.007300,01.008.007300.2,1749,4
1989,F,32,01,01.013,01.013.016600,01.013.016600.4,1889,2
1989,F,32,01,01.002,01.002.000700,01.002.000700.1,1911,2
1989,F,32,01,01.018,01.018.019200,01.018.019200.2,1913,2
1989,F,33,01,01.018,01.018.019100,01.018.019100.2,1742,2
1989,F,33,01,01.002,01.002.000600,01.002.000600.4,1744,2
1989,F,33,01,01.002,01.002.000800,01.002.000800.5,1744,2
1989,F,33,01,01.018,01.018.019100,01.018.019100.2,1744,2
1989,F,33,01,01.002,01.002.000600,01.002.000600.5,1745,2
1989,F,33,01,01.002,01.002.000600,01.002.000600.4,1749,2
1989,F,33,01,01.002,01.002.000800,01.002.000800.7,1749,2
1989,F,33,01,01.004,01.004.011600,01.004.011600.6,1749,2
1989,F,33,01,01.008,01.008.004300,01.008.004300.5,1749,2
1989,F,33,01,01.008,01.008.004800,01.008.004800.1,1749,2
1989,F,33,01,01.008,01.008.006900,01.008.006900.5,1749,2
1989,F,33,01,01.008,01.008.009200,01.008.009200.6,1749,2
1989,F,33,01,01.008,01.008.010900,01.008.010900.3,1749,2
1989,F,33,01,01.011,01.011.013900,01.011.013900.7,1749,2
1989,F,33,01,01.013,01.013.016500,01.013.016500.1,1749,6
1989,F,33,01,01.014,01.014.017800,01.014.017800.4,1749,2
1989,F,33,01,01.008,01.008.007700,01.008.007700.4,1889,2
1989,F,33,01,01.018,01.018.019200,01.018.019200.3,1911,2
1989,F,33,01,01.008,01.008.004100,01.008.004100.6,1919,2
1989,F,33,01,01.008,01.008.008800,01.008.008800.4,1919,2
1989,F,34,01,01.008,01.008.008700,01.008.008700.8,1625,2
1989,F,34,01,01.002,01.002.001300,01.002.001300.1,1741,2
1989,F,34,01,01.008,01.008.008400,01.008.008400.2,1744,2
1989,F,34,01,01.018,01.018.019100,01.018.019100.2,1749,2
1989,F,34,01,01.011,01.011.013700,01.011.013700.3,1890,2
1989,F,34,01,01.002,01.002.000800,01.002.000800.4,1891,2
1989,F,34,01,01.008,01.008.010200,01.008.010200.6,1911,2
1989,F,35,01,01.006,01.006.002600,01.006.002600.1,1629,2
1989,F,35,01,01.002,01.002.000600,01.002.000600.5,1741,2
1989,F,35,01,01.002,01.002.000600,01.002.000600.7,1741,2
1989,F,35,01,01.008,01.008.003700,01.008.003700.8,1742,2
1989,F,35,01,01.008,01.008.010800,01.008.010800.1,1744,2
1989,F,35,01,01.011,01.011.014300,01.011.014300.2,1744,2
1989,F,35,01,01.008,01.008.009800,01.008.009800.5,1748,2
1989,F,35,01,01.014,01.014.018700,01.014.018700.2,1748,2
1989,F,35,01,01.002,01.002.000900,01.002.000900.4,1749,2
1989,F,35,01,01.004,01.004.011700,01.004.011700.6,1749,2
1989,F,35,01,01.004,01.004.011900,01.004.011900.1,1749,2
1989,F,35,01,01.008,01.008.003700,01.008.003700.9,1749,2
1989,F,35,01,01.008,01.008.005600,01.008.005600.1,1749,2
1989,F,35,01,01.008,01.008.005800,01.008.005800.6,1749,2
1989,F,35,01,01.008,01.008.006300,01.008.006300.2,1749,2
1989,F,35,01,01.008,01.008.008200,01.008.008200.3,1749,2
1989,F,35,01,01.008,01.008.010300,01.008.010300.6,1749,2
1989,F,35,01,01.013,01.013.016100,01.013.016100.1,1749,2
1989,F,35,01,01.014,01.014.018100,01.014.018100.5,1749,2
1989,F,35,01,01.014,01.014.018400,01.014.018400.5,1749,2
1989,F,35,01,01.007,01.007.012100,01.007.012100.1,1889,2
1989,F,35,01,01.014,01.014.018400,01.014.018400.9,1912,2
1989,F,35,01,01.014,01.014.018300,01.014.018300.5,1913,2
1989,F,36,01,01.008,01.008.006300,01.008.006300.5,1623,2
1989,F,36,01,01.008,01.008.005100,01.008.005100.4,1629,2
1989,F,36,01,01.008,01.008.009900,01.008.009900.4,1741,2
1989,F,36,01,01.018,01.018.019100,01.018.019100.3,1742,2
1989,F,36,01,01.002,01.002.000500,01.002.000500.7,1744,2
1989,F,36,01,01.002,01.002.001100,01.002.001100.2,1744,2
1989,F,36,01,01.008,01.008.006300,01.008.006300.5,1744,2
1989,F,36,01,01.008,01.008.007100,01.008.007100.1,1744,2
1989,F,36,01,01.018,01.018.019200,01.018.019200.1,1744,2
1989,F,36,01,01.011,01.011.013900,01.011.013900.2,1748,2
1989,F,36,01,01.002,01.002.000300,01.002.000300.1,1749,4
1989,F,36,01,01.002,01.002.001200,01.002.001200.3,1749,2
1989,F,36,01,01.004,01.004.011900,01.004.011900.2,1749,2
1989,F,36,01,01.007,01.007.012000,01.007.012000.3,1749,2
1989,F,36,01,01.008,01.008.007700,01.008.007700.3,1749,2
1989,F,36,01,01.008,01.008.007900,01.008.007900.4,1749,2
1989,F,36,01,01.008,01.008.010200,01.008.010200.2,1749,2
1989,F,36,01,01.011,01.011.014500,01.011.014500.6,1749,2
1989,F,36,01,01.014,01.014.017800,01.014.017800.3,1890,2
1989,F,36,01,01.004,01.004.011600,01.004.011600.5,1910,2
1989,F,36,01,01.014,01.014.017800,01.014.017800.4,1913,2
1989,F,36,01,01.015,01.015.016200,01.015.016200.4,1913,2
1989,F,37,01,01.008,01.008.008200,01.008.008200.6,1550,2
1989,F,37,01,01.008,01.008.007600,01.008.007600.6,1741,2
1989,F,37,01,01.002,01.002.000600,01.002.000600.5,1742,2
1989,F,37,01,01.002,01.002.002200,01.002.002200.6,1743,2
1989,F,37,01,01.002,01.002.000700,01.002.000700.1,1744,2
1989,F,37,01,01.003,01.003.003300,01.003.003300.1,1744,2
1989,F,37,01,01.008,01.008.005700,01.008.005700.7,1744,2
1989,F,37,01,01.014,01.014.018100,01.014.018100.2,1744,2
1989,F,37,01,01.004,01.004.011400,01.004.011400.4,1749,2
1989,F,37,01,01.008,01.008.003901,01.008.003901.6,1749,2
1989,F,37,01,01.008,01.008.004400,01.008.004400.7,1749,2
1989,F,37,01,01.008,01.008.004500,01.008.004500.2,1749,2
1989,F,37,01,01.008,01.008.005500,01.008.005500.3,1749,2
1989,F,37,01,01.008,01.008.009600,01.008.009600.6,1749,2
1989,F,37,01,01.014,01.014.018400,01.014.018400.6,1749,2
1989,F,37,01,01.014,01.014.018400,01.014.018400.7,1749,2
1989,F,37,01,01.014,01.014.018500,01.014.018500.8,1749,2
1989,F,37,01,01.011,01.011.015300,01.011.015300.1,1889,2
1989,F,37,01,01.008,01.008.005600,01.008.005600.3,1890,2
1989,F,37,01,01.008,01.008.008700,01.008.008700.2,1890,2
1989,F,37,01,01.012,01.012.016000,01.012.016000.1,1890,2
1989,F,38,01,01.008,01.008.004400,01.008.004400.4,1551,2
1989,F,38,01,01.008,01.008.004700,01.008.004700.6,1740,2
1989,F,38,01,01.009,01.009.003100,01.009.003100.1,1741,2
1989,F,38,01,01.002,01.002.000600,01.002.000600.8,1744,2
1989,F,38,01,01.002,01.002.001200,01.002.001200.6,1744,2
1989,F,38,01,01.003,01.003.003400,01.003.003400.4,1744,2
1989,F,38,01,01.008,01.008.007200,01.008.007200.2,1744,2
1989,F,38,01,01.013,01.013.016700,01.013.016700.2,1744,2
1989,F,38,01,01.018,01.018.019200,01.018.019200.3,1744,2
1989,F,38,01,01.002,01.002.000400,01.002.000400.6,1748,2
1989,F,38,01,01.011,01.011.013200,01.011.013200.4,1748,2
1989,F,38,01,01.002,01.002.000300,01.002.000300.3,1749,2
1989,F,38,01,01.002,01.002.002300,01.002.002300.1,1749,2
1989,F,38,01,01.005,01.005.002400,01.005.002400.2,1749,2
1989,F,38,01,01.008,01.008.004000,01.008.004000.1,1749,2
1989,F,38,01,01.008,01.008.004100,01.008.004100.2,1749,2
1989,F,38,01,01.008,01.008.004100,01.008.004100.5,1749,2
1989,F,38,01,01.008,01.008.005400,01.008.005400.4,1749,2
1989,F,38,01,01.008,01.008.005500,01.008.005500.5,1749,2
1989,F,38,01,01.008,01.008.005600,01.008.005600.5,1749,4
1989,F,38,01,01.008,01.008.006400,01.008.006400.1,1749,2
1989,F,38,01,01.008,01.008.008400,01.008.008400.2,1749,2
1989,F,38,01,01.008,01.008.008700,01.008.008700.5,1749,2
1989,F,38,01,01.008,01.008.008700,01.008.008700.6,1749,2
1989,F,38,01,01.008,01.008.009600,01.008.009600.3,1749,2
1989,F,38,01,01.008,01.008.009600,01.008.009600.4,1749,2
1989,F,38,01,01.008,01.008.010700,01.008.010700.7,1749,2
1989,F,38,01,01.008,01.008.010900,01.008.010900.3,1749,2
1989,F,38,01,01.009,01.009.002800,01.009.002800.4,1749,2
1989,F,38,01,01.011,01.011.012900,01.011.012900.7,1749,2
1989,F,38,01,01.011,01.011.013000,01.011.013000.2,1749,2
1989,F,38,01,01.011,01.011.015200,01.011.015200.3,1749,2
1989,F,38,01,01.011,01.011.015300,01.011.015300.2,1749,2
1989,F,38,01,01.008,01.008.003700,01.008.003700.8,1919,2
1989,F,38,01,01.008,01.008.003800,01.008.003800.3,1919,2
1989,F,39,01,01.018,01.018.019100,01.018.019100.3,1741,2
1989,F,39,01,01.018,01.018.019100,01.018.019100.5,1741,2
1989,F,39,01,01.008,01.008.009600,01.008.009600.6,1742,2
1989,F,39,01,01.016,01.016.017000,01.016.017000.2,1744,2
1989,F,39,01,01.008,01.008.006100,01.008.006100.5,1749,2
1989,F,39,01,01.008,01.008.006300,01.008.006300.5,1749,2
1989,F,39,01,01.011,01.011.014800,01.011.014800.3,1749,2
1989,F,39,01,01.014,01.014.018400,01.014.018400.9,1749,2
1989,F,39,01,01.014,01.014.018500,01.014.018500.6,1749,4
1989,F,39,01,01.002,01.002.001400,01.002.001400.7,1890,2
1989,F,39,01,01.002,01.002.000500,01.002.000500.2,1913,2
1989,F,40,01,01.008,01.008.002900,01.008.002900.1,1629,2
1989,F,40,01,01.008,01.008.002900,01.008.002900.5,1629,2
1989,F,40,01,01.008,01.008.008300,01.008.008300.3,1629,2
1989,F,40,01,01.002,01.002.000400,01.002.000400.8,1741,2
1989,F,40,01,01.011,01.011.014600,01.011.014600.1,1743,2
1989,F,40,01,01.018,01.018.019500,01.018.019500.3,1743,2
1989,F,40,01,01.002,01.002.001600,01.002.001600.4,1744,2
1989,F,40,01,01.008,01.008.010800,01.008.010800.2,1744,2
1989,F,40,01,01.011,01.011.013700,01.011.013700.7,1744,2
1989,F,40,01,01.011,01.011.013600,01.011.013600.5,1745,2
1989,F,40,01,01.011,01.011.014300,01.011.014300.2,1748,2
1989,F,40,01,01.002,01.002.001500,01.002.001500.1,1749,2
1989,F,40,01,01.002,01.002.001800,01.002.001800.3,1749,4
1989,F,40,01,01.008,01.008.002900,01.008.002900.7,1749,4
1989,F,40,01,01.008,01.008.003800,01.008.003800.2,1749,2
1989,F,40,01,01.008,01.008.004100,01.008.004100.4,1749,2
1989,F,40,01,01.008,01.008.005500,01.008.005500.6,1749,2
1989,F,40,01,01.008,01.008.005600,01.008.005600.6,1749,2
1989,F,40,01,01.008,01.008.008000,01.008.008000.6,1749,2
1989,F,40,01,01.008,01.008.008700,01.008.008700.6,1749,4
1989,F,40,01,01.008,01.008.008800,01.008.008800.2,1749,2
1989,F,40,01,01.008,01.008.009600,01.008.009600.6,1749,2
1989,F,40,01,01.008,01.008.010500,01.008.010500.3,1749,2
1989,F,40,01,01.009,01.009.003200,01.009.003200.3,1749,2
1989,F,40,01,01.011,01.011.013000,01.011.013000.7,1749,2
1989,F,40,01,01.011,01.011.013300,01.011.013300.6,1749,2
1989,F,40,01,01.011,01.011.013600,01.011.013600.6,1749,2
1989,F,40,01,01.014,01.014.018500,01.014.018500.2,1749,2
1989,F,40,01,01.008,01.008.009100,01.008.009100.3,1889,2
1989,F,40,01,01.008,01.008.008300,01.008.008300.2,1890,2
1989,F,40,01,01.002,01.002.001500,01.002.001500.1,1913,2
1989,F,41,01,01.011,01.011.013900,01.011.013900.5,1625,2
1989,F,41,01,01.002,01.002.001700,01.002.001700.6,1628,2
1989,F,41,01,01.002,01.002.001200,01.002.001200.1,1741,2
1989,F,41,01,01.002,01.002.001300,01.002.001300.5,1741,2
1989,F,41,01,01.002,01.002.002100,01.002.002100.5,1741,2
1989,F,41,01,01.009,01.009.003200,01.009.003200.4,1741,2
1989,F,41,01,01.002,01.002.000600,01.002.000600.8,1742,2
1989,F,41,01,01.008,01.008.009900,01.008.009900.8,1742,2
1989,F,41,01,01.011,01.011.013300,01.011.013300.2,1742,2
1989,F,41,01,01.002,01.002.000800,01.002.000800.3,1743,2
1989,F,41,01,01.002,01.002.001400,01.002.001400.6,1744,2
1989,F,41,01,01.002,01.002.002200,01.002.002200.2,1744,2
1989,F,41,01,01.008,01.008.004200,01.008.004200.4,1744,2
1989,F,41,01,01.008,01.008.007200,01.008.007200.4,1744,2
1989,F,41,01,01.011,01.011.014700,01.011.014700.4,1744,2
1989,F,41,01,01.013,01.013.016800,01.013.016800.3,1744,2
1989,F,41,01,01.018,01.018.019200,01.018.019200.2,1744,2
1989,F,41,01,01.018,01.018.019400,01.018.019400.1,1744,2
1989,F,41,01,01.008,01.008.007700,01.008.007700.3,1745,2
1989,F,41,01,01.008,01.008.006800,01.008.006800.4,1748,2
1989,F,41,01,01.001,01.001.000100,01.001.000100.1,1749,2
1989,F,41,01,01.002,01.002.000500,01.002.000500.4,1749,2
1989,F,41,01,01.004,01.004.011700,01.004.011700.2,1749,4
1989,F,41,01,01.006,01.006.002600,01.006.002600.1,1749,2
1989,F,41,01,01.007,01.007.012200,01.007.012200.4,1749,2
1989,F,41,01,01.007,01.007.012500,01.007.012500.1,1749,2
1989,F,41,01,01.008,01.008.003600,01.008.003600.1,1749,2
1989,F,41,01,01.008,01.008.003600,01.008.003600.2,1749,2
1989,F,41,01,01.008,01.008.003700,01.008.003700.3,1749,2
1989,F,41,01,01.008,01.008.005600,01.008.005600.1,1749,2
1989,F,41,01,01.008,01.008.005600,01.008.005600.2,1749,2
1989,F,41,01,01.008,01.008.005600,01.008.005600.5,1749,4
1989,F,41,01,01.008,01.008.007500,01.008.007500.1,1749,2
1989,F,41,01,01.008,01.008.010700,01.008.010700.1,1749,2
1989,F,41,01,01.008,01.008.010700,01.008.010700.9,1749,2
1989,F,41,01,01.011,01.011.013200,01.011.013200.6,1749,2
1989,F,41,01,01.011,01.011.013300,01.011.013300.4,1749,2
1989,F,41,01,01.011,01.011.013900,01.011.013900.8,1749,2
1989,F,41,01,01.011,01.011.015400,01.011.015400.4,1749,2
1989,F,41,01,01.011,01.011.015700,01.011.015700.4,1749,4
1989,F,41,01,01.014,01.014.018600,01.014.018600.4,1749,2
1989,F,41,01,01.013,01.013.016600,01.013.016600.3,1889,2
1989,F,41,01,01.014,01.014.017300,01.014.017300.4,1889,2
1989,F,41,01,01.011,01.011.014100,01.011.014100.4,1913,2
1989,F,41,01,01.002,01.002.001600,01.002.001600.6,1919,2
1989,F,41,01,01.008,01.008.005800,01.008.005800.3,1919,2
1989,F,42,01,01.008,01.008.007700,01.008.007700.4,1620,2
1989,F,42,01,01.008,01.008.006900,01.008.006900.5,1741,2
1989,F,42,01,01.017,01.017.019000,01.017.019000.1,1741,2
1989,F,42,01,01.002,01.002.000800,01.002.000800.2,1742,2
1989,F,42,01,01.008,01.008.010500,01.008.010500.3,1742,2
1989,F,42,01,01.008,01.008.005300,01.008.005300.6,1743,2
1989,F,42,01,01.011,01.011.013100,01.011.013100.2,1743,2
1989,F,42,01,01.002,01.002.000600,01.002.000600.9,1744,2
1989,F,42,01,01.002,01.002.000700,01.002.000700.4,1744,2
1989,F,42,01,01.002,01.002.000800,01.002.000800.3,1744,4
1989,F,42,01,01.002,01.002.001100,01.002.001100.2,1744,2
1989,F,42,01,01.002,01.002.002200,01.002.002200.3,1744,2
1989,F,42,01,01.002,01.002.002300,01.002.002300.7,1744,2
1989,F,42,01,01.003,01.003.003300,01.003.003300.1,1744,2
1989,F,42,01,01.003,01.003.003400,01.003.003400.1,1744,2
1989,F,42,01,01.008,01.008.007100,01.008.007100.5,1744,2
1989,F,42,01,01.008,01.008.011000,01.008.011000.1,1744,2
1989,F,42,01,01.009,01.009.002800,01.009.002800.3,1744,2
1989,F,42,01,01.011,01.011.014500,01.011.014500.2,1744,2
1989,F,42,01,01.013,01.013.016600,01.013.016600.2,1744,2
1989,F,42,01,01.018,01.018.019300,01.018.019300.3,1744,2
1989,F,42,01,01.008,01.008.005300,01.008.005300.8,1745,2
1989,F,42,01,01.008,01.008.009600,01.008.009600.7,1748,2
1989,F,42,01,01.002,01.002.000400,01.002.000400.2,1749,2
1989,F,42,01,01.002,01.002.000600,01.002.000600.4,1749,2
1989,F,42,01,01.002,01.002.000600,01.002.000600.7,1749,2
1989,F,42,01,01.004,01.004.011100,01.004.011100.4,1749,2
1989,F,42,01,01.004,01.004.011700,01.004.011700.1,1749,2
1989,F,42,01,01.008,01.008.003800,01.008.003800.3,1749,4
1989,F,42,01,01.008,01.008.004000,01.008.004000.6,1749,2
1989,F,42,01,01.008,01.008.004200,01.008.004200.5,1749,2
1989,F,42,01,01.008,01.008.004500,01.008.004500.2,1749,2
1989,F,42,01,01.008,01.008.004500,01.008.004500.7,1749,2
1989,F,42,01,01.008,01.008.004600,01.008.004600.3,1749,2
1989,F,42,01,01.008,01.008.004600,01.008.004600.6,1749,2
1989,F,42,01,01.008,01.008.004800,01.008.004800.3,1749,2
1989,F,42,01,01.008,01.008.005700,01.008.005700.1,1749,2
1989,F,42,01,01.008,01.008.006300,01.008.006300.1,1749,2
1989,F,42,01,01.008,01.008.006600,01.008.006600.4,1749,4
1989,F,42,01,01.008,01.008.007300,01.008.007300.3,1749,2
1989,F,42,01,01.008,01.008.007600,01.008.007600.3,1749,2
1989,F,42,01,01.008,01.008.009000,01.008.009000.4,1749,2
1989,F,42,01,01.008,01.008.009500,01.008.009500.6,1749,2
1989,F,42,01,01.008,01.008.009600,01.008.009600.5,1749,4
1989,F,42,01,01.008,01.008.009600,01.008.009600.7,1749,2
1989,F,42,01,01.008,01.008.009700,01.008.009700.6,1749,2
1989,F,42,01,01.008,01.008.009900,01.008.009900.4,1749,2
1989,F,42,01,01.008,01.008.010400,01.008.010400.1,1749,2
1989,F,42,01,01.011,01.011.012800,01.011.012800.1,1749,2
1989,F,42,01,01.011,01.011.013300,01.011.013300.7,1749,2
1989,F,42,01,01.011,01.011.013600,01.011.013600.8,1749,2
1989,F,42,01,01.017,01.017.019000,01.017.019000.2,1749,2
1989,F,42,01,01.018,01.018.019100,01.018.019100.2,1749,2
1989,F,42,01,01.018,01.018.019100,01.018.019100.5,1749,2
1989,F,42,01,01.008,01.008.004200,01.008.004200.4,1890,2
1989,F,42,01,01.011,01.011.012700,01.011.012700.1,1915,2
1989,F,42,01,01.008,01.008.006700,01.008.006700.2,1919,2
1989,F,43,01,01.002,01.002.000500,01.002.000500.2,1741,2
1989,F,43,01,01.002,01.002.000600,01.002.000600.1,1741,2
1989,F,43,01,01.008,01.008.005000,01.008.005000.8,1741,2
1989,F,43,01,01.011,01.011.014800,01.011.014800.3,1741,2
1989,F,43,01,01.014,01.014.018800,01.014.018800.2,1741,2
1989,F,43,01,01.015,01.015.016200,01.015.016200.4,1741,2
1989,F,43,01,01.018,01.018.019200,01.018.019200.1,1742,2
1989,F,43,01,01.018,01.018.019500,01.018.019500.2,1742,2
1989,F,43,01,01.002,01.002.000700,01.002.000700.5,1744,2
1989,F,43,01,01.004,01.004.011200,01.004.011200.3,1744,2
1989,F,43,01,01.008,01.008.008000,01.008.008000.7,1744,2
1989,F,43,01,01.008,01.008.010800,01.008.010800.3,1744,2
1989,F,43,01,01.011,01.011.013800,01.011.013800.7,1744,2
1989,F,43,01,01.014,01.014.017800,01.014.017800.1,1744,2
1989,F,43,01,01.018,01.018.019500,01.018.019500.3,1744,4
1989,F,43,01,01.007,01.007.012100,01.007.012100.3,1745,2
1989,F,43,01,01.008,01.008.007800,01.008.007800.2,1748,2
1989,F,43,01,01.002,01.002.000300,01.002.000300.5,1749,2
1989,F,43,01,01.002,01.002.000600,01.002.000600.2,1749,2
1989,F,43,01,01.004,01.004.011400,01.004.011400.3,1749,2
1989,F,43,01,01.004,01.004.011600,01.004.011600.3,1749,2
1989,F,43,01,01.007,01.007.012000,01.007.012000.3,1749,2
1989,F,43,01,01.007,01.007.012200,01.007.012200.6,1749,2
1989,F,43,01,01.008,01.008.003900,01.008.003900.5,1749,2
1989,F,43,01,01.008,01.008.004000,01.008.004000.1,1749,2
1989,F,43,01,01.008,01.008.004000,01.008.004000.3,1749,2
1989,F,43,01,01.008,01.008.004100,01.008.004100.8,1749,2
1989,F,43,01,01.008,01.008.004400,01.008.004400.3,1749,4
1989,F,43,01,01.008,01.008.004700,01.008.004700.1,1749,2
1989,F,43,01,01.008,01.008.004700,01.008.004700.3,1749,2
1989,F,43,01,01.008,01.008.005500,01.008.005500.5,1749,4
1989,F,43,01,01.008,01.008.005600,01.008.005600.4,1749,4
1989,F,43,01,01.008,01.008.006100,01.008.006100.6,1749,2
1989,F,43,01,01.008,01.008.006300,01.008.006300.5,1749,2
1989,F,43,01,01.008,01.008.007700,01.008.007700.1,1749,2
1989,F,43,01,01.008,01.008.007900,01.008.007900.1,1749,2
1989,F,43,01,01.008,01.008.009600,01.008.009600.8,1749,2
1989,F,43,01,01.011,01.011.013100,01.011.013100.4,1749,4
1989,F,43,01,01.011,01.011.014300,01.011.014300.6,1749,2
1989,F,43,01,01.013,01.013.016100,01.013.016100.3,1749,2
1989,F,43,01,01.013,01.013.016200,01.013.016200.2,1749,2
1989,F,43,01,01.014,01.014.018100,01.014.018100.2,1749,2
1989,F,43,01,01.014,01.014.018100,01.014.018100.5,1749,2
1989,F,43,01,01.011,01.011.013900,01.011.013900.5,1912,2
1989,F,43,01,01.008,01.008.007600,01.008.007600.8,1913,2
1989,F,44,01,01.008,01.008.005600,01.008.005600.5,1625,2
1989,F,44,01,01.008,01.008.004900,01.008.004900.4,1740,2
1989,F,44,01,01.011,01.011.015000,01.011.015000.4,1743,2
1989,F,44,01,01.002,01.002.000800,01.002.000800.7,1744,2
1989,F,44,01,01.002,01.002.001400,01.002.001400.2,1744,2
1989,F,44,01,01.011,01.011.012700,01.011.012700.1,1744,2
1989,F,44,01,01.011,01.011.013900,01.011.013900.3,1744,2
1989,F,44,01,01.002,01.002.000900,01.002.000900.3,1748,2
1989,F,44,01,01.002,01.002.002000,01.002.002000.2,1748,2
1989,F,44,01,01.002,01.002.002300,01.002.002300.4,1749,2
1989,F,44,01,01.004,01.004.011500,01.004.011500.2,1749,2
1989,F,44,01,01.008,01.008.006500,01.008.006500.4,1749,2
1989,F,44,01,01.008,01.008.006700,01.008.006700.3,1749,2
1989,F,44,01,01.008,01.008.006800,01.008.006800.5,1749,2
