SAHSU_GRD_LEVEL4,AREANAME,GID,GEOGRAPHIC_CENTROID
"01.002.000900.6","01.002.000900.6","56","{""type"":""Point"",""coordinates"":[-6.6260986358603,55.0456541490063]}"
"01.002.000900.7","01.002.000900.7","57","{""type"":""Point"",""coordinates"":[-6.63998748881276,55.0409118818166]}"
"01.002.000900.8","01.002.000900.8","58","{""type"":""Point"",""coordinates"":[-6.62655456516989,55.0415385902669]}"
"01.002.000900.9","01.002.000900.9","59","{""type"":""Point"",""coordinates"":[-6.61441433795017,55.0391790210475]}"
"01.002.001000.1","01.002.001000.1","60","{""type"":""Point"",""coordinates"":[-6.66019031645002,55.0603218334756]}"
"01.002.001000.2","01.002.001000.2","61","{""type"":""Point"",""coordinates"":[-6.65538045471171,55.0586945569497]}"
"01.002.001000.3","01.002.001000.3","62","{""type"":""Point"",""coordinates"":[-6.66770527738053,55.0571894437452]}"
"01.002.001000.4","01.002.001000.4","63","{""type"":""Point"",""coordinates"":[-6.65115040335041,55.0532529933023]}"
"01.002.001000.5","01.002.001000.5","64","{""type"":""Point"",""coordinates"":[-6.66378728854805,55.0461392473231]}"
"01.002.001000.6","01.002.001000.6","65","{""type"":""Point"",""coordinates"":[-6.65482097335928,55.0446319960551]}"
"01.002.001000.7","01.002.001000.7","66","{""type"":""Point"",""coordinates"":[-6.65366953769248,55.0410367356122]}"
"01.002.001100.1","01.002.001100.1","67","{""type"":""Point"",""coordinates"":[-6.70905074790153,55.0259386601752]}"
"01.002.001100.2","01.002.001100.2","68","{""type"":""Point"",""coordinates"":[-6.73366006992804,55.0111818891623]}"
"01.002.001100.3","01.002.001100.3","69","{""type"":""Point"",""coordinates"":[-6.74372246696628,55.0027952486452]}"
"01.002.001100.4","01.002.001100.4","70","{""type"":""Point"",""coordinates"":[-6.74887510711193,54.99718292826]}"
"01.002.001100.5","01.002.001100.5","71","{""type"":""Point"",""coordinates"":[-6.7240575883051,54.9986044143947]}"
"01.002.001100.6","01.002.001100.6","72","{""type"":""Point"",""coordinates"":[-6.7377923104539,54.9976884101916]}"
"01.002.001100.7","01.002.001100.7","73","{""type"":""Point"",""coordinates"":[-6.67883938633018,55.0426278827127]}"
"01.002.001200.1","01.002.001200.1","74","{""type"":""Point"",""coordinates"":[-6.6524633672838,55.0367649464663]}"
"01.002.001200.2","01.002.001200.2","75","{""type"":""Point"",""coordinates"":[-6.64022219310244,55.0371545806435]}"
"01.002.001200.3","01.002.001200.3","76","{""type"":""Point"",""coordinates"":[-6.62615311144672,55.0351494767448]}"
"01.002.001200.4","01.002.001200.4","77","{""type"":""Point"",""coordinates"":[-6.6727261562244,55.0318366383503]}"
"01.002.001200.5","01.002.001200.5","78","{""type"":""Point"",""coordinates"":[-6.66133537255747,55.0324840704653]}"
"01.002.001200.6","01.002.001200.6","79","{""type"":""Point"",""coordinates"":[-6.65257679300086,55.0328536799549]}"
"01.002.001200.7","01.002.001200.7","80","{""type"":""Point"",""coordinates"":[-6.63971066693161,55.031634807661]}"
"01.002.001300.1","01.002.001300.1","81","{""type"":""Point"",""coordinates"":[-6.61952956911442,55.0288979723051]}"
"01.002.001300.2","01.002.001300.2","82","{""type"":""Point"",""coordinates"":[-6.62723512190671,55.0300432445815]}"
"01.002.001300.3","01.002.001300.3","83","{""type"":""Point"",""coordinates"":[-6.64937349889771,55.0239405705237]}"
"01.002.001300.4","01.002.001300.4","84","{""type"":""Point"",""coordinates"":[-6.63793728839789,55.0232182373289]}"
"01.002.001300.5","01.002.001300.5","85","{""type"":""Point"",""coordinates"":[-6.61991615049055,55.0089848008902]}"
"01.002.001300.6","01.002.001300.6","86","{""type"":""Point"",""coordinates"":[-6.65179273508696,55.0070075382601]}"
"01.002.001300.7","01.002.001300.7","87","{""type"":""Point"",""coordinates"":[-6.63669537394268,54.9952759011532]}"
"01.002.001300.8","01.002.001300.8","88","{""type"":""Point"",""coordinates"":[-6.63007587456841,55.0013841864868]}"
"01.002.001300.9","01.002.001300.9","89","{""type"":""Point"",""coordinates"":[-6.64565994672438,55.0143561760117]}"
"01.002.001400.1","01.002.001400.1","90","{""type"":""Point"",""coordinates"":[-6.67181203308168,55.0230214777682]}"
"01.002.001400.2","01.002.001400.2","91","{""type"":""Point"",""coordinates"":[-6.66157215964826,55.0229009258228]}"
"01.002.001400.3","01.002.001400.3","92","{""type"":""Point"",""coordinates"":[-6.68493400789477,55.0123153974371]}"
"01.002.001400.4","01.002.001400.4","93","{""type"":""Point"",""coordinates"":[-6.69909880972831,55.0076980543443]}"
"01.002.001400.5","01.002.001400.5","94","{""type"":""Point"",""coordinates"":[-6.66566118390037,55.0123556790213]}"
"01.002.001400.6","01.002.001400.6","95","{""type"":""Point"",""coordinates"":[-6.67050418654283,54.9944519744064]}"
"01.002.001400.7","01.002.001400.7","96","{""type"":""Point"",""coordinates"":[-6.66615664762151,55.0046433489601]}"
"01.002.001400.8","01.002.001400.8","97","{""type"":""Point"",""coordinates"":[-6.70564794629204,55.0026579545496]}"
"01.002.001400.9","01.002.001400.9","98","{""type"":""Point"",""coordinates"":[-6.67322814476418,54.9993276091313]}"
"01.002.001500.1","01.002.001500.1","99","{""type"":""Point"",""coordinates"":[-6.66334250172738,54.9885278634516]}"
"01.002.001500.2","01.002.001500.2","100","{""type"":""Point"",""coordinates"":[-6.6067909602639,54.9916715303159]}"
"01.002.001500.3","01.002.001500.3","101","{""type"":""Point"",""coordinates"":[-6.64729360442739,54.9851312570956]}"
"01.002.001500.4","01.002.001500.4","102","{""type"":""Point"",""coordinates"":[-6.64773508306239,54.980671807545]}"
"01.002.001500.5","01.002.001500.5","103","{""type"":""Point"",""coordinates"":[-6.60458585523342,54.9779553917767]}"
"01.002.001500.6","01.002.001500.6","104","{""type"":""Point"",""coordinates"":[-6.59188187034901,54.9746850126419]}"
"01.002.001500.7","01.002.001500.7","105","{""type"":""Point"",""coordinates"":[-6.62367691206246,54.9600878293629]}"
"01.002.001500.8","01.002.001500.8","106","{""type"":""Point"",""coordinates"":[-6.60944088484198,54.9637469786093]}"
"01.002.001600.1","01.002.001600.1","107","{""type"":""Point"",""coordinates"":[-6.71420929178911,54.9941296582458]}"
"01.002.001600.2","01.002.001600.2","108","{""type"":""Point"",""coordinates"":[-6.75184633540939,54.9853880961318]}"
"01.002.001600.3","01.002.001600.3","109","{""type"":""Point"",""coordinates"":[-6.68353483220202,54.9954440948199]}"
"01.002.001600.4","01.002.001600.4","110","{""type"":""Point"",""coordinates"":[-6.67926158667088,54.9888362827841]}"
"01.002.001600.5","01.002.001600.5","111","{""type"":""Point"",""coordinates"":[-6.73075237100907,54.9870476186756]}"
"01.002.001600.6","01.002.001600.6","112","{""type"":""Point"",""coordinates"":[-6.70081608976358,54.9817575323511]}"
"01.002.001600.7","01.002.001600.7","113","{""type"":""Point"",""coordinates"":[-6.7486100708461,54.9735883811974]}"
"01.002.001600.8","01.002.001600.8","114","{""type"":""Point"",""coordinates"":[-6.74007611308007,54.9747359322463]}"
"01.002.001700.1","01.002.001700.1","115","{""type"":""Point"",""coordinates"":[-6.82034086140242,54.9561605222349]}"
"01.002.001700.2","01.002.001700.2","116","{""type"":""Point"",""coordinates"":[-6.79161604103476,54.9547324759268]}"
"01.002.001700.3","01.002.001700.3","117","{""type"":""Point"",""coordinates"":[-6.76353425940467,54.9621093735525]}"
"01.002.001700.4","01.002.001700.4","118","{""type"":""Point"",""coordinates"":[-6.74537166315979,54.9647268775999]}"
"01.002.001700.5","01.002.001700.5","119","{""type"":""Point"",""coordinates"":[-6.76327273810759,54.9525125458996]}"
"01.002.001700.6","01.002.001700.6","120","{""type"":""Point"",""coordinates"":[-6.74465064933722,54.9497744579778]}"
"01.002.001700.7","01.002.001700.7","121","{""type"":""Point"",""coordinates"":[-6.78992851002906,54.9280886628905]}"
"01.002.001700.8","01.002.001700.8","122","{""type"":""Point"",""coordinates"":[-6.76125155304375,54.9373452799683]}"
"01.002.001700.9","01.002.001700.9","123","{""type"":""Point"",""coordinates"":[-6.7588578826741,54.9312613414877]}"
"01.002.001800.1","01.002.001800.1","124","{""type"":""Point"",""coordinates"":[-6.71425625573728,54.977413578716]}"
"01.002.001800.2","01.002.001800.2","125","{""type"":""Point"",""coordinates"":[-6.72952653613454,54.9754305369227]}"
"01.002.001800.3","01.002.001800.3","126","{""type"":""Point"",""coordinates"":[-6.67261763593878,54.9393002159992]}"
"01.002.001800.4","01.002.001800.4","127","{""type"":""Point"",""coordinates"":[-6.73382986728976,54.968297918175]}"
"01.002.001800.5","01.002.001800.5","128","{""type"":""Point"",""coordinates"":[-6.61434522447525,54.9379219617299]}"
"01.002.001800.6","01.002.001800.6","129","{""type"":""Point"",""coordinates"":[-6.73114692744152,54.961651299833]}"
"01.002.001800.7","01.002.001800.7","130","{""type"":""Point"",""coordinates"":[-6.72941458287579,54.9542733168281]}"
"01.002.001800.8","01.002.001800.8","131","{""type"":""Point"",""coordinates"":[-6.72876432169282,54.9475449898997]}"
"01.002.001900.1","01.002.001900.1","132","{""type"":""Point"",""coordinates"":[-6.74026932917959,54.9347135978959]}"
"01.002.001900.2","01.002.001900.2","133","{""type"":""Point"",""coordinates"":[-6.72736939177965,54.937560273789]}"
"01.002.001900.3","01.002.001900.3","134","{""type"":""Point"",""coordinates"":[-6.71721427794633,54.936065890599]}"
"01.002.001900.4","01.002.001900.4","135","{""type"":""Point"",""coordinates"":[-6.70629618612647,54.9178539620171]}"
"01.002.001900.5","01.002.001900.5","136","{""type"":""Point"",""coordinates"":[-6.71025497255164,54.929388021618]}"
"01.002.001900.6","01.002.001900.6","137","{""type"":""Point"",""coordinates"":[-6.69920754048709,54.9262404143517]}"
"01.002.001900.7","01.002.001900.7","138","{""type"":""Point"",""coordinates"":[-6.67777429086779,54.9207982347146]}"
"01.002.001900.8","01.002.001900.8","139","{""type"":""Point"",""coordinates"":[-6.6953568274339,54.917434947829]}"
"01.002.002000.1","01.002.002000.1","140","{""type"":""Point"",""coordinates"":[-6.73265843678081,54.9143972320576]}"
"01.002.002000.2","01.002.002000.2","141","{""type"":""Point"",""coordinates"":[-6.75734426973226,54.8971232473505]}"
"01.002.002000.3","01.002.002000.3","142","{""type"":""Point"",""coordinates"":[-6.72140967834224,54.8925741370435]}"
"01.002.002000.4","01.002.002000.4","143","{""type"":""Point"",""coordinates"":[-6.71358726413731,54.8619067566687]}"
"01.002.002000.5","01.002.002000.5","144","{""type"":""Point"",""coordinates"":[-6.76097127203817,54.9125302649116]}"
"01.002.002100.1","01.002.002100.1","145","{""type"":""Point"",""coordinates"":[-6.65725571983428,54.9172744209102]}"
"01.002.002100.2","01.002.002100.2","146","{""type"":""Point"",""coordinates"":[-6.67684894680009,54.9031907535119]}"
"01.002.002100.3","01.002.002100.3","147","{""type"":""Point"",""coordinates"":[-6.69092264402457,54.9017761185354]}"
"01.002.002100.4","01.002.002100.4","148","{""type"":""Point"",""coordinates"":[-6.658385756218,54.90320620569]}"
"01.002.002100.5","01.002.002100.5","149","{""type"":""Point"",""coordinates"":[-6.68472453451295,54.9023320307515]}"
"01.002.002100.6","01.002.002100.6","150","{""type"":""Point"",""coordinates"":[-6.59612964644329,54.9092091466658]}"
"01.002.002100.7","01.002.002100.7","151","{""type"":""Point"",""coordinates"":[-6.64367006401481,54.9012567192686]}"
"01.002.002100.8","01.002.002100.8","152","{""type"":""Point"",""coordinates"":[-6.59789820565302,54.8968141601715]}"
"01.002.002200.1","01.002.002200.1","153","{""type"":""Point"",""coordinates"":[-6.64332024071355,54.892912802697]}"
"01.002.002200.2","01.002.002200.2","154","{""type"":""Point"",""coordinates"":[-6.65927806767706,54.8824481952616]}"
"01.002.002200.3","01.002.002200.3","155","{""type"":""Point"",""coordinates"":[-6.64833640531342,54.8814528957138]}"
"01.002.002200.4","01.002.002200.4","156","{""type"":""Point"",""coordinates"":[-6.6788343216095,54.8683989942243]}"
"01.002.002200.5","01.002.002200.5","157","{""type"":""Point"",""coordinates"":[-6.62274365682334,54.8794151777529]}"
"01.002.002200.6","01.002.002200.6","158","{""type"":""Point"",""coordinates"":[-6.63615699859826,54.8545440663135]}"
"01.002.002300.1","01.002.002300.1","159","{""type"":""Point"",""coordinates"":[-6.57689787329427,54.8679034989861]}"
"01.002.002300.2","01.002.002300.2","160","{""type"":""Point"",""coordinates"":[-6.5720690676801,54.8601059615853]}"
"01.002.002300.3","01.002.002300.3","161","{""type"":""Point"",""coordinates"":[-6.60482870186342,54.855112162039]}"
"01.002.002300.4","01.002.002300.4","162","{""type"":""Point"",""coordinates"":[-6.58960260561572,54.8566550321152]}"
"01.002.002300.5","01.002.002300.5","163","{""type"":""Point"",""coordinates"":[-6.57951819385552,54.8518451026563]}"
"01.002.002300.6","01.002.002300.6","164","{""type"":""Point"",""coordinates"":[-6.59616556617781,54.8447932210175]}"
"01.002.002300.7","01.002.002300.7","165","{""type"":""Point"",""coordinates"":[-6.58312580969684,54.873879698129]}"
"01.002.002300.8","01.002.002300.8","166","{""type"":""Point"",""coordinates"":[-6.58240196409969,54.8345805512774]}"
"01.003.003300.1","01.003.003300.1","167","{""type"":""Point"",""coordinates"":[-7.38981360880963,54.8345580024674]}"
"01.003.003400.1","01.003.003400.1","168","{""type"":""Point"",""coordinates"":[-6.80007067746514,54.801558300311]}"
"01.003.003400.2","01.003.003400.2","169","{""type"":""Point"",""coordinates"":[-6.9115179252615,54.775912396694]}"
"01.003.003400.3","01.003.003400.3","170","{""type"":""Point"",""coordinates"":[-6.86819862019832,54.7809826095833]}"
"01.003.003400.4","01.003.003400.4","171","{""type"":""Point"",""coordinates"":[-6.80237574197164,54.796084915222]}"
"01.003.003400.5","01.003.003400.5","172","{""type"":""Point"",""coordinates"":[-6.73308421539306,54.7603889629776]}"
"01.003.003400.6","01.003.003400.6","173","{""type"":""Point"",""coordinates"":[-6.84581838463101,54.7222369420555]}"
"01.004.011100.1","01.004.011100.1","174","{""type"":""Point"",""coordinates"":[-6.54641887999743,54.9853613176125]}"
"01.004.011100.2","01.004.011100.2","175","{""type"":""Point"",""coordinates"":[-6.53651788654664,54.9466410918251]}"
"01.004.011100.3","01.004.011100.3","176","{""type"":""Point"",""coordinates"":[-6.57610874162418,54.95314233277]}"
"01.004.011100.4","01.004.011100.4","177","{""type"":""Point"",""coordinates"":[-6.53723779489216,54.9034889848969]}"
"01.004.011100.5","01.004.011100.5","178","{""type"":""Point"",""coordinates"":[-6.527542558879,54.8625890374755]}"
"01.004.011200.1","01.004.011200.1","179","{""type"":""Point"",""coordinates"":[-6.46827288056211,54.8231282584617]}"
"01.004.011200.2","01.004.011200.2","180","{""type"":""Point"",""coordinates"":[-6.55247805643651,54.8360557467117]}"
"01.004.011200.3","01.004.011200.3","181","{""type"":""Point"",""coordinates"":[-6.59102493292328,54.7994884314726]}"
"01.004.011200.4","01.004.011200.4","182","{""type"":""Point"",""coordinates"":[-6.54325961997884,54.8243493497794]}"
"01.004.011200.5","01.004.011200.5","183","{""type"":""Point"",""coordinates"":[-6.52634222868768,54.8151960889379]}"
"01.004.011200.6","01.004.011200.6","184","{""type"":""Point"",""coordinates"":[-6.52949026720731,54.7982737192436]}"
"01.004.011300.1","01.004.011300.1","185","{""type"":""Point"",""coordinates"":[-6.54419550300949,54.7577509976674]}"
"01.004.011300.2","01.004.011300.2","186","{""type"":""Point"",""coordinates"":[-6.48354989455619,54.7762046517373]}"
"01.004.011300.3","01.004.011300.3","187","{""type"":""Point"",""coordinates"":[-6.45349479193219,54.7601658447053]}"
"01.004.011300.4","01.004.011300.4","188","{""type"":""Point"",""coordinates"":[-6.52078589570447,54.7655025200733]}"
"01.004.011300.5","01.004.011300.5","189","{""type"":""Point"",""coordinates"":[-6.50577272657702,54.760282570286]}"
"01.004.011400.1","01.004.011400.1","190","{""type"":""Point"",""coordinates"":[-6.5193746423399,54.7509766990344]}"
"01.004.011400.2","01.004.011400.2","191","{""type"":""Point"",""coordinates"":[-6.51602492868723,54.743164584267]}"
"01.004.011400.3","01.004.011400.3","192","{""type"":""Point"",""coordinates"":[-6.5158797226232,54.7347058238012]}"
"01.004.011400.4","01.004.011400.4","193","{""type"":""Point"",""coordinates"":[-6.54704362002938,54.7250495601117]}"
"01.004.011400.5","01.004.011400.5","194","{""type"":""Point"",""coordinates"":[-6.49600710993049,54.7263435809519]}"
"01.004.011400.6","01.004.011400.6","195","{""type"":""Point"",""coordinates"":[-6.53482475871729,54.7264044270467]}"
"01.004.011400.7","01.004.011400.7","196","{""type"":""Point"",""coordinates"":[-6.50643151607501,54.725820340157]}"
"01.004.011400.8","01.004.011400.8","197","{""type"":""Point"",""coordinates"":[-6.51928116619426,54.7222661433668]}"
"01.004.011400.9","01.004.011400.9","198","{""type"":""Point"",""coordinates"":[-6.52013364159403,54.7284999701972]}"
"01.004.011500.1","01.004.011500.1","199","{""type"":""Point"",""coordinates"":[-6.47860353974664,54.724344514841]}"
"01.004.011500.2","01.004.011500.2","200","{""type"":""Point"",""coordinates"":[-6.54161941475131,54.6996720394076]}"
"01.004.011500.3","01.004.011500.3","201","{""type"":""Point"",""coordinates"":[-6.52159807277244,54.7170475854228]}"
"01.004.011500.4","01.004.011500.4","202","{""type"":""Point"",""coordinates"":[-6.49653935845412,54.7159397190203]}"
"01.004.011500.5","01.004.011500.5","203","{""type"":""Point"",""coordinates"":[-6.48373075886458,54.7155958873306]}"
"01.004.011500.6","01.004.011500.6","204","{""type"":""Point"",""coordinates"":[-6.50697126628578,54.7172702875883]}"
"01.004.011500.7","01.004.011500.7","205","{""type"":""Point"",""coordinates"":[-6.52344611993773,54.7081072913156]}"
"01.004.011500.8","01.004.011500.8","206","{""type"":""Point"",""coordinates"":[-6.506203461323,54.7129084080926]}"
"01.004.011500.9","01.004.011500.9","207","{""type"":""Point"",""coordinates"":[-6.540655583896,54.7136062489176]}"
"01.004.011600.1","01.004.011600.1","208","{""type"":""Point"",""coordinates"":[-6.51090501732868,54.7054531187822]}"
"01.004.011600.2","01.004.011600.2","209","{""type"":""Point"",""coordinates"":[-6.49071107027075,54.7085268175713]}"
"01.004.011600.3","01.004.011600.3","210","{""type"":""Point"",""coordinates"":[-6.47724367810419,54.7054136878558]}"
"01.004.011600.4","01.004.011600.4","211","{""type"":""Point"",""coordinates"":[-6.48434661240196,54.699715342955]}"
"01.004.011600.5","01.004.011600.5","212","{""type"":""Point"",""coordinates"":[-6.50733035839337,54.7024816964422]}"
"01.004.011600.6","01.004.011600.6","213","{""type"":""Point"",""coordinates"":[-6.50750664405633,54.6985512495498]}"
"01.004.011600.7","01.004.011600.7","214","{""type"":""Point"",""coordinates"":[-6.49356556320137,54.694626168958]}"
"01.004.011600.8","01.004.011600.8","215","{""type"":""Point"",""coordinates"":[-6.47997067684411,54.6929752700376]}"
"01.004.011600.9","01.004.011600.9","216","{""type"":""Point"",""coordinates"":[-6.48642584777029,54.6873987259892]}"
"01.004.011700.1","01.004.011700.1","217","{""type"":""Point"",""coordinates"":[-6.52709434017343,54.6934636647827]}"
"01.004.011700.2","01.004.011700.2","218","{""type"":""Point"",""coordinates"":[-6.51187468228499,54.6926747390837]}"
"01.004.011700.3","01.004.011700.3","219","{""type"":""Point"",""coordinates"":[-6.50281021143516,54.6907021082564]}"
"01.004.011700.4","01.004.011700.4","220","{""type"":""Point"",""coordinates"":[-6.5093026142989,54.683914880155]}"
"01.004.011700.5","01.004.011700.5","221","{""type"":""Point"",""coordinates"":[-6.53503803362929,54.6750933909871]}"
"01.004.011700.6","01.004.011700.6","222","{""type"":""Point"",""coordinates"":[-6.52611127822605,54.6734867574224]}"
"01.004.011700.7","01.004.011700.7","223","{""type"":""Point"",""coordinates"":[-6.50185692078964,54.6767936877528]}"
"01.004.011700.8","01.004.011700.8","224","{""type"":""Point"",""coordinates"":[-6.54641596976452,54.6728232041777]}"
"01.004.011700.9","01.004.011700.9","225","{""type"":""Point"",""coordinates"":[-6.51818553011735,54.669610884115]}"
"01.004.011800.1","01.004.011800.1","226","{""type"":""Point"",""coordinates"":[-6.59521901042593,54.7068513144866]}"
"01.004.011800.2","01.004.011800.2","227","{""type"":""Point"",""coordinates"":[-6.55563620389103,54.6714424305914]}"
"01.004.011900.1","01.004.011900.1","228","{""type"":""Point"",""coordinates"":[-6.42948989604002,54.7312084811141]}"
"01.004.011900.2","01.004.011900.2","229","{""type"":""Point"",""coordinates"":[-6.40951655196677,54.6925231519386]}"
"01.004.011900.3","01.004.011900.3","230","{""type"":""Point"",""coordinates"":[-6.49724276399736,54.6629022490295]}"
"01.005.002400.1","01.005.002400.1","231","{""type"":""Point"",""coordinates"":[-6.05873828824063,55.0375676894512]}"
"01.005.002400.2","01.005.002400.2","232","{""type"":""Point"",""coordinates"":[-6.24829439642382,54.7819657425329]}"
"01.006.002500.1","01.006.002500.1","233","{""type"":""Point"",""coordinates"":[-6.01146864841414,54.7624547320206]}"
"01.006.002500.2","01.006.002500.2","234","{""type"":""Point"",""coordinates"":[-5.88629015012835,54.7711723847933]}"
"01.006.002500.3","01.006.002500.3","235","{""type"":""Point"",""coordinates"":[-6.04120897880216,54.6254915814785]}"
"01.006.002600.1","01.006.002600.1","236","{""type"":""Point"",""coordinates"":[-5.82856678405176,54.8044527425589]}"
