GEOLEVEL_ID,AREAID,NUM_ADJACENCIES,ADJACENCY_LIST
"3","01.008.007000","6","01.008.006500,01.008.006600,01.008.007100,01.008.009700,01.008.009800,01.009.002700"
"3","01.008.007100","7","01.008.002900,01.008.006600,01.008.006900,01.008.007000,01.008.007500,01.008.007600,01.008.009700"
"3","01.008.007200","6","01.008.005800,01.008.005900,01.008.006700,01.008.007300,01.008.008000,01.008.008600"
"3","01.008.007300","6","01.008.006700,01.008.007200,01.008.007400,01.008.007500,01.008.008600,01.008.008700"
"3","01.008.007400","7","01.008.002900,01.008.006700,01.008.006800,01.008.007300,01.008.007500,01.008.007600,01.008.008700"
"3","01.008.007500","7","01.008.002900,01.008.006800,01.008.006900,01.008.007100,01.008.007300,01.008.007400,01.008.007600"
"3","01.008.007600","6","01.008.007100,01.008.007400,01.008.007500,01.008.008700,01.008.009600,01.008.009700"
"3","01.008.007700","5","01.008.005300,01.008.005500,01.008.006000,01.008.007800,01.008.008200"
"3","01.008.007800","7","01.008.005500,01.008.005700,01.008.007700,01.008.007900,01.008.008100,01.008.008200,01.008.008300"
"3","01.008.007900","5","01.008.005700,01.008.005800,01.008.007800,01.008.008000,01.008.008100"
"3","01.008.008000","6","01.008.005800,01.008.005900,01.008.007200,01.008.007900,01.008.008100,01.008.008600"
"3","01.008.008100","6","01.008.007800,01.008.007900,01.008.008000,01.008.008300,01.008.008500,01.008.008600"
"3","01.008.008200","5","01.008.006000,01.008.007700,01.008.007800,01.008.008300,01.008.008400"
"3","01.008.008300","5","01.008.007800,01.008.008100,01.008.008200,01.008.008400,01.008.008500"
"3","01.008.008400","6","01.008.006000,01.008.008200,01.008.008300,01.008.008500,01.008.009100,01.008.009200"
"3","01.008.008500","8","01.008.008100,01.008.008300,01.008.008400,01.008.008600,01.008.008800,01.008.008900,01.008.009100,01.008.009200"
"3","01.008.008600","7","01.008.007200,01.008.007300,01.008.008000,01.008.008100,01.008.008500,01.008.008700,01.008.008800"
"3","01.008.008700","7","01.008.007300,01.008.007400,01.008.007600,01.008.008600,01.008.008800,01.008.009000,01.008.009600"
"3","01.008.008800","5","01.008.008500,01.008.008600,01.008.008700,01.008.008900,01.008.009000"
"3","01.008.008900","5","01.008.008500,01.008.008800,01.008.009000,01.008.009200,01.008.009300"
"3","01.008.009000","8","01.008.001000,01.008.008700,01.008.008800,01.008.008900,01.008.009200,01.008.009300,01.008.009500,01.008.009600"
"3","01.008.009100","7","01.008.003500,01.008.006000,01.008.008400,01.008.008500,01.008.009200,01.008.009400,01.008.011000"
"3","01.008.009200","7","01.008.008400,01.008.008500,01.008.008900,01.008.009000,01.008.009100,01.008.009300,01.008.009400"
"3","01.008.009300","5","01.008.008900,01.008.009000,01.008.009200,01.008.009400,01.008.009500"
"3","01.008.009400","6","01.008.009100,01.008.009200,01.008.009300,01.008.009500,01.008.010900,01.008.011000"
"3","01.008.009500","7","01.008.001000,01.008.009000,01.008.009300,01.008.009400,01.008.010300,01.008.010700,01.008.010900"
"3","01.008.009600","6","01.008.001000,01.008.007600,01.008.008700,01.008.009000,01.008.009700,01.008.010100"
"3","01.008.009700","7","01.008.007000,01.008.007100,01.008.007600,01.008.009600,01.008.009800,01.008.009900,01.008.010100"
"3","01.008.009800","6","01.008.007000,01.008.009700,01.008.009900,01.008.010200,01.009.002700,01.009.003100"
"3","01.008.009900","4","01.008.009700,01.008.009800,01.008.010100,01.008.010200"
"3","01.008.010100","7","01.008.001000,01.008.009600,01.008.009700,01.008.009900,01.008.010200,01.008.010300,01.008.010500"
"3","01.008.010200","6","01.008.009800,01.008.009900,01.008.010100,01.008.010500,01.008.010600,01.009.003100"
"3","01.008.010300","6","01.008.001000,01.008.009500,01.008.010100,01.008.010400,01.008.010500,01.008.010700"
"3","01.008.010400","4","01.008.010300,01.008.010500,01.008.010600,01.008.010700"
"3","01.008.010500","5","01.008.010100,01.008.010200,01.008.010300,01.008.010400,01.008.010600"
"3","01.008.010600","6","01.008.010200,01.008.010400,01.008.010500,01.008.010700,01.008.010800,01.009.003100"
"3","01.008.010700","6","01.008.009500,01.008.010300,01.008.010400,01.008.010600,01.008.010800,01.008.010900"
"3","01.008.010800","5","01.008.010600,01.008.010700,01.008.010900,01.009.003100,01.011.012700"
"3","01.008.010900","7","01.008.009400,01.008.009500,01.008.010700,01.008.010800,01.008.011000,01.011.012700,01.011.012900"
"3","01.008.011000","9","01.007.012300,01.007.012400,01.008.003500,01.008.009100,01.008.009400,01.008.010900,01.011.012600,01.011.012700,01.011.012900"
"3","01.009.002700","13","01.004.011900,01.005.002400,01.006.002500,01.008.003600,01.008.004400,01.008.004900,01.008.005000,01.008.006400,01.008.006500,01.008.007000,01.008.009800,01.009.002800,01.009.003100"
"3","01.009.002800","5","01.006.002500,01.006.002600,01.009.002700,01.009.002900,01.009.003100"
"3","01.009.002900","4","01.006.002600,01.009.002800,01.009.003100,01.009.003200"
"3","01.009.003000","3","01.006.002600,01.009.003200,01.012.003000"
"3","01.009.003100","15","01.008.009800,01.008.010200,01.008.010600,01.008.010800,01.009.002700,01.009.002800,01.009.002900,01.009.003200,01.011.012700,01.011.012800,01.011.014000,01.011.014100,01.011.015300,01.012.015900,01.012.016000"
"3","01.009.003200","7","01.006.002600,01.009.002900,01.009.003000,01.009.003100,01.012.003000,01.012.015900,01.012.016000"
"3","01.011.012600","6","01.007.012400,01.008.011000,01.011.012900,01.011.013100,01.011.013200,01.013.016100"
"3","01.011.012700","7","01.008.010800,01.008.010900,01.008.011000,01.009.003100,01.011.012800,01.011.012900,01.011.013000"
"3","01.011.012800","7","01.009.003100,01.011.012700,01.011.013000,01.011.013300,01.011.013400,01.011.013500,01.011.014000"
"3","01.011.012900","6","01.008.010900,01.008.011000,01.011.012600,01.011.012700,01.011.013000,01.011.013100"
"3","01.011.013000","5","01.011.012700,01.011.012800,01.011.012900,01.011.013100,01.011.013300"
"3","01.011.013100","5","01.011.012600,01.011.012900,01.011.013000,01.011.013200,01.011.013300"
"3","01.011.013200","7","01.011.012600,01.011.013100,01.011.013300,01.011.013400,01.011.013500,01.011.014400,01.013.016100"
"3","01.011.013300","5","01.011.012800,01.011.013000,01.011.013100,01.011.013200,01.011.013400"
"3","01.011.013400","4","01.011.012800,01.011.013200,01.011.013300,01.011.013500"
"3","01.011.013500","7","01.011.012800,01.011.013200,01.011.013400,01.011.013600,01.011.013700,01.011.014000,01.011.014400"
"3","01.011.013600","5","01.011.013500,01.011.013700,01.011.013800,01.011.013900,01.011.014400"
"3","01.011.013700","5","01.011.013500,01.011.013600,01.011.013800,01.011.014000,01.011.014100"
"3","01.011.013800","4","01.011.013600,01.011.013700,01.011.013900,01.011.014100"
"3","01.011.013900","6","01.011.013600,01.011.013800,01.011.014100,01.011.014200,01.011.014300,01.011.014400"
"3","01.011.014000","5","01.009.003100,01.011.012800,01.011.013500,01.011.013700,01.011.014100"
"3","01.011.014100","7","01.009.003100,01.011.013700,01.011.013800,01.011.013900,01.011.014000,01.011.014200,01.011.015300"
"3","01.011.014200","7","01.011.013900,01.011.014100,01.011.014300,01.011.014600,01.011.014700,01.011.015000,01.011.015300"
"3","01.011.014300","5","01.011.013900,01.011.014200,01.011.014400,01.011.014500,01.011.014600"
"3","01.011.014400","8","01.011.013200,01.011.013500,01.011.013600,01.011.013900,01.011.014300,01.011.014500,01.013.016000,01.013.016100"
"3","01.011.014500","8","01.011.014300,01.011.014400,01.011.014600,01.011.015200,01.011.015400,01.013.016000,01.013.016100,01.013.016200"
"3","01.011.014600","7","01.011.014200,01.011.014300,01.011.014500,01.011.014700,01.011.014800,01.011.014900,01.011.015200"
"3","01.011.014700","5","01.011.014200,01.011.014600,01.011.014800,01.011.015000,01.011.015100"
"3","01.011.014800","4","01.011.014600,01.011.014700,01.011.014900,01.011.015100"
"3","01.011.014900","5","01.011.014600,01.011.014800,01.011.015100,01.011.015200,01.011.015800"
"3","01.011.015000","5","01.011.014200,01.011.014700,01.011.015100,01.011.015300,01.011.015800"
"3","01.011.015100","5","01.011.014700,01.011.014800,01.011.014900,01.011.015000,01.011.015800"
"3","01.011.015200","5","01.011.014500,01.011.014600,01.011.014900,01.011.015400,01.011.015800"
"3","01.011.015300","6","01.009.003100,01.011.014100,01.011.014200,01.011.015000,01.011.015800,01.012.015900"
"3","01.011.015400","8","01.011.014500,01.011.015200,01.011.015500,01.011.015600,01.011.015700,01.011.015800,01.013.016200,01.013.016300"
"3","01.011.015500","4","01.011.015400,01.011.015600,01.011.015800,01.012.015900"
"3","01.011.015600","4","01.011.015400,01.011.015500,01.011.015700,01.012.015900"
"3","01.011.015700","7","01.011.015400,01.011.015600,01.012.015900,01.013.016300,01.013.016400,01.013.016500,01.013.016800"
"3","01.011.015800","8","01.011.014900,01.011.015000,01.011.015100,01.011.015200,01.011.015300,01.011.015400,01.011.015500,01.012.015900"
"3","01.012.003000","4","01.009.003000,01.009.003200,01.012.016000,01.016.017000"
"3","01.012.015900","10","01.009.003100,01.009.003200,01.011.015300,01.011.015500,01.011.015600,01.011.015700,01.011.015800,01.012.016000,01.013.016800,01.016.017000"
"3","01.012.016000","5","01.009.003100,01.009.003200,01.012.003000,01.012.015900,01.016.017000"
"3","01.013.016000","3","01.011.014400,01.011.014500,01.013.016100"
"3","01.013.016100","8","01.007.012400,01.007.012500,01.011.012600,01.011.013200,01.011.014400,01.011.014500,01.013.016000,01.013.016200"
"3","01.013.016200","11","01.007.012500,01.011.014500,01.011.015400,01.013.016100,01.013.016300,01.013.016400,01.013.016500,01.013.016600,01.013.016700,01.013.016800,01.015.016200"
"3","01.013.016300","4","01.011.015400,01.011.015700,01.013.016200,01.013.016400"
"3","01.013.016400","4","01.011.015700,01.013.016200,01.013.016300,01.013.016500"
"3","01.013.016500","5","01.011.015700,01.013.016200,01.013.016400,01.013.016600,01.013.016800"
"3","01.013.016600","4","01.013.016200,01.013.016500,01.013.016700,01.013.016800"
"3","01.013.016700","3","01.013.016200,01.013.016600,01.013.016800"
"3","01.013.016800","8","01.011.015700,01.012.015900,01.013.016200,01.013.016500,01.013.016600,01.013.016700,01.015.016200,01.016.017000"
"3","01.014.017200","6","01.014.017300,01.014.017500,01.014.017600,01.014.018000,01.014.018100,01.014.018700"
"3","01.014.017300","2","01.014.017200,01.014.017500"
"3","01.014.017500","2","01.014.017200,01.014.017300"
"3","01.014.017600","8","01.014.017200,01.014.017700,01.014.017800,01.014.017900,01.014.018600,01.014.018700,01.014.018800,01.017.019000"
"3","01.014.017700","2","01.014.017600,01.014.017800"
"3","01.014.017800","3","01.014.017600,01.014.017700,01.014.017900"
"3","01.014.017900","3","01.014.017600,01.014.017800,01.017.019000"
"3","01.014.018000","3","01.014.017200,01.014.018100,01.015.016200"
"3","01.014.018100","6","01.014.017200,01.014.018000,01.014.018200,01.014.018300,01.014.018700,01.015.016200"
"3","01.014.018200","5","01.014.018100,01.014.018300,01.014.018400,01.014.018500,01.014.018700"
"3","01.014.018300","5","01.014.018100,01.014.018200,01.014.018400,01.014.018500,01.015.016200"
"3","01.014.018400","3","01.014.018200,01.014.018300,01.014.018500"
"3","01.014.018500","6","01.014.018200,01.014.018300,01.014.018400,01.014.018600,01.014.018700,01.015.016200"
"3","01.014.018600","6","01.014.017600,01.014.018500,01.014.018700,01.014.018800,01.015.016200,01.017.019000"
"3","01.014.018700","6","01.014.017200,01.014.017600,01.014.018100,01.014.018200,01.014.018500,01.014.018600"
"3","01.014.018800","3","01.014.017600,01.014.018600,01.017.019000"
"3","01.015.016200","13","01.007.012500,01.013.016200,01.013.016800,01.014.018000,01.014.018100,01.014.018300,01.014.018500,01.014.018600,01.015.016900,01.016.017000,01.017.019000,01.018.019100,01.018.019500"
"3","01.015.016900","1","01.015.016200"
"3","01.016.017000","8","01.012.003000,01.012.015900,01.012.016000,01.013.016800,01.015.016200,01.016.017100,01.018.019100,01.018.019200"
"3","01.016.017100","2","01.016.017000,01.018.019200"
"3","01.017.018900","1","01.017.019000"
"3","01.017.019000","7","01.014.017600,01.014.017900,01.014.018600,01.014.018800,01.015.016200,01.017.018900,01.018.019500"
"3","01.018.019100","5","01.015.016200,01.016.017000,01.018.019200,01.018.019300,01.018.019500"
"3","01.018.019200","5","01.016.017000,01.016.017100,01.018.019100,01.018.019300,01.018.019400"
"3","01.018.019300","4","01.018.019100,01.018.019200,01.018.019400,01.018.019500"
"3","01.018.019400","3","01.018.019200,01.018.019300,01.018.019500"
"3","01.018.019500","5","01.015.016200,01.017.019000,01.018.019100,01.018.019300,01.018.019400"
"4","01.001.000100.1","18","01.001.000100.2,01.001.000200.1,01.002.000500.1,01.002.000500.4,01.002.000500.7,01.002.000600.1,01.002.000600.6,01.002.000600.8,01.002.000700.2,01.002.000800.7,01.002.000900.1,01.002.000900.2,01.002.000900.4,01.002.001300.1,01.002.001300.5,01.002.001500.2,01.004.011100.1,01.005.002400.1"
"4","01.001.000100.2","2","01.001.000100.1,01.001.000200.1"
"4","01.001.000200.1","4","01.001.000100.1,01.001.000100.2,01.001.000300.1,01.005.002400.1"
"4","01.001.000300.1","1","01.001.000200.1"
"4","01.002.000300.1","3","01.002.000300.2,01.002.000300.3,01.002.000300.4"
"4","01.002.000300.2","4","01.002.000300.1,01.002.000300.4,01.002.000500.3,01.002.000600.2"
"4","01.002.000300.3","3","01.002.000300.1,01.002.000300.4,01.002.000300.5"
"4","01.002.000300.4","6","01.002.000300.1,01.002.000300.2,01.002.000300.3,01.002.000300.5,01.002.000400.3,01.002.000600.2"
"4","01.002.000300.5","3","01.002.000300.3,01.002.000300.4,01.002.000400.3"
"4","01.002.000400.1","6","01.002.000400.2,01.002.000400.5,01.002.000400.7,01.002.001700.1,01.002.001700.2,01.002.001700.3"
"4","01.002.000400.2","6","01.002.000400.1,01.002.000400.7,01.002.000400.9,01.002.001600.2,01.002.001700.2,01.002.001700.3"
"4","01.002.000400.3","12","01.002.000300.4,01.002.000300.5,01.002.000400.4,01.002.000400.5,01.002.000400.6,01.002.000400.7,01.002.000600.2,01.002.001100.1,01.002.001100.2,01.002.001100.3,01.002.001100.7,01.002.001600.2"
"4","01.002.000400.4","3","01.002.000400.3,01.002.000400.5,01.002.000400.8"
"4","01.002.000400.5","7","01.002.000400.1,01.002.000400.3,01.002.000400.4,01.002.000400.6,01.002.000400.7,01.002.000400.8,01.002.001700.1"
"4","01.002.000400.6","3","01.002.000400.3,01.002.000400.5,01.002.000400.7"
"4","01.002.000400.7","6","01.002.000400.1,01.002.000400.2,01.002.000400.3,01.002.000400.5,01.002.000400.6,01.002.001600.2"
"4","01.002.000400.8","3","01.002.000400.4,01.002.000400.5,01.002.001700.1"
"4","01.002.000400.9","5","01.002.000400.2,01.002.001600.2,01.002.001600.7,01.002.001700.3,01.002.001700.4"
"4","01.002.000500.1","7","01.001.000100.1,01.002.000500.2,01.002.000500.3,01.002.000500.4,01.002.000500.5,01.002.000500.6,01.002.000500.9"
"4","01.002.000500.2","2","01.002.000500.1,01.002.000500.3"
"4","01.002.000500.3","7","01.002.000300.2,01.002.000500.1,01.002.000500.2,01.002.000500.6,01.002.000600.2,01.002.000600.3,01.002.000600.4"
"4","01.002.000500.4","5","01.001.000100.1,01.002.000500.1,01.002.000500.5,01.002.000500.7,01.002.000500.8"
"4","01.002.000500.5","4","01.002.000500.1,01.002.000500.4,01.002.000500.8,01.002.000500.9"
"4","01.002.000500.6","5","01.002.000500.1,01.002.000500.3,01.002.000500.9,01.002.000600.1,01.002.000600.4"
"4","01.002.000500.7","5","01.001.000100.1,01.002.000500.4,01.002.000500.8,01.002.000500.9,01.002.000600.1"
"4","01.002.000500.8","4","01.002.000500.4,01.002.000500.5,01.002.000500.7,01.002.000500.9"
"4","01.002.000500.9","6","01.002.000500.1,01.002.000500.5,01.002.000500.6,01.002.000500.7,01.002.000500.8,01.002.000600.1"
"4","01.002.000600.1","7","01.001.000100.1,01.002.000500.6,01.002.000500.7,01.002.000500.9,01.002.000600.4,01.002.000600.5,01.002.000600.6"
"4","01.002.000600.2","9","01.002.000300.2,01.002.000300.4,01.002.000400.3,01.002.000500.3,01.002.000600.3,01.002.000600.7,01.002.000800.6,01.002.001100.1,01.002.001100.7"
"4","01.002.000600.3","7","01.002.000500.3,01.002.000600.2,01.002.000600.4,01.002.000600.7,01.002.000700.3,01.002.000700.4,01.002.000700.5"
"4","01.002.000600.4","9","01.002.000500.3,01.002.000500.6,01.002.000600.1,01.002.000600.3,01.002.000600.5,01.002.000600.6,01.002.000600.9,01.002.000700.4,01.002.000700.5"
"4","01.002.000600.5","3","01.002.000600.1,01.002.000600.4,01.002.000600.6"
"4","01.002.000600.6","6","01.001.000100.1,01.002.000600.1,01.002.000600.4,01.002.000600.5,01.002.000600.8,01.002.000600.9"
"4","01.002.000600.7","4","01.002.000600.2,01.002.000600.3,01.002.000700.3,01.002.000800.6"
"4","01.002.000600.8","6","01.001.000100.1,01.002.000600.6,01.002.000600.9,01.002.000700.1,01.002.000700.2,01.002.000700.5"
"4","01.002.000600.9","4","01.002.000600.4,01.002.000600.6,01.002.000600.8,01.002.000700.5"
"4","01.002.000700.1","5","01.002.000600.8,01.002.000700.2,01.002.000700.5,01.002.000700.6,01.002.000700.7"
"4","01.002.000700.2","7","01.001.000100.1,01.002.000600.8,01.002.000700.1,01.002.000700.7,01.002.000800.1,01.002.000800.2,01.002.000800.7"
"4","01.002.000700.3","4","01.002.000600.3,01.002.000600.7,01.002.000700.4,01.002.000800.6"
"4","01.002.000700.4","7","01.002.000600.3,01.002.000600.4,01.002.000700.3,01.002.000700.5,01.002.000700.6,01.002.000800.3,01.002.000800.6"
"4","01.002.000700.5","8","01.002.000600.3,01.002.000600.4,01.002.000600.8,01.002.000600.9,01.002.000700.1,01.002.000700.4,01.002.000700.6,01.002.000700.7"
"4","01.002.000700.6","7","01.002.000700.1,01.002.000700.4,01.002.000700.5,01.002.000700.7,01.002.000800.3,01.002.000800.4,01.002.000800.5"
"4","01.002.000700.7","7","01.002.000700.1,01.002.000700.2,01.002.000700.5,01.002.000700.6,01.002.000800.2,01.002.000800.4,01.002.000800.5"
