SAHSU_GRD_LEVEL3,AREANAME,GID,GEOGRAPHIC_CENTROID
"01.008.003800","01.008.003800","51","{""type"":""Point"",""coordinates"":[-6.56871826494185,54.5958181982026]}"
"01.008.003900","01.008.003900","52","{""type"":""Point"",""coordinates"":[-6.50534287441456,54.6060423112115]}"
"01.008.004000","01.008.004000","53","{""type"":""Point"",""coordinates"":[-6.54434976800836,54.5830726544942]}"
"01.008.004100","01.008.004100","54","{""type"":""Point"",""coordinates"":[-6.53718414255054,54.5621799129433]}"
"01.008.004200","01.008.004200","55","{""type"":""Point"",""coordinates"":[-6.50629273357059,54.5847726843523]}"
"01.008.004300","01.008.004300","56","{""type"":""Point"",""coordinates"":[-6.49072546760374,54.5868095476417]}"
"01.008.004400","01.008.004400","57","{""type"":""Point"",""coordinates"":[-6.45294188520804,54.5952588856668]}"
"01.008.004500","01.008.004500","58","{""type"":""Point"",""coordinates"":[-6.46176765244283,54.5820197991882]}"
"01.008.004600","01.008.004600","59","{""type"":""Point"",""coordinates"":[-6.49686971576213,54.5633119145322]}"
"01.008.004700","01.008.004700","60","{""type"":""Point"",""coordinates"":[-6.47516578182312,54.5629633581889]}"
"01.008.004800","01.008.004800","61","{""type"":""Point"",""coordinates"":[-6.4522666367833,54.5647854314439]}"
"01.008.004900","01.008.004900","62","{""type"":""Point"",""coordinates"":[-6.41122780819288,54.5635058516042]}"
"01.008.005000","01.008.005000","63","{""type"":""Point"",""coordinates"":[-6.42518821787951,54.5545368390033]}"
"01.008.005100","01.008.005100","64","{""type"":""Point"",""coordinates"":[-6.77192606962071,54.5210110216611]}"
"01.008.005200","01.008.005200","65","{""type"":""Point"",""coordinates"":[-6.74285345316193,54.5180849437134]}"
"01.008.005300","01.008.005300","66","{""type"":""Point"",""coordinates"":[-6.70568618465459,54.5194427916432]}"
"01.008.005400","01.008.005400","67","{""type"":""Point"",""coordinates"":[-6.65072787558536,54.5335180386815]}"
"01.008.005500","01.008.005500","68","{""type"":""Point"",""coordinates"":[-6.6523371255108,54.5099265877481]}"
"01.008.005600","01.008.005600","69","{""type"":""Point"",""coordinates"":[-6.59349890304256,54.5356113665124]}"
"01.008.005700","01.008.005700","70","{""type"":""Point"",""coordinates"":[-6.61092225534229,54.5175094887993]}"
"01.008.005800","01.008.005800","71","{""type"":""Point"",""coordinates"":[-6.58902494894496,54.5115582109681]}"
"01.008.005900","01.008.005900","72","{""type"":""Point"",""coordinates"":[-6.53326245404995,54.533045004177]}"
"01.008.006000","01.008.006000","73","{""type"":""Point"",""coordinates"":[-6.66252625263986,54.4711337249039]}"
"01.008.006100","01.008.006100","74","{""type"":""Point"",""coordinates"":[-6.48906505007264,54.5432301877495]}"
"01.008.006200","01.008.006200","75","{""type"":""Point"",""coordinates"":[-6.45947841550312,54.5437062666136]}"
"01.008.006300","01.008.006300","76","{""type"":""Point"",""coordinates"":[-6.44418244482694,54.5373251850857]}"
"01.008.006400","01.008.006400","77","{""type"":""Point"",""coordinates"":[-6.41356107537511,54.535460479893]}"
"01.008.006500","01.008.006500","78","{""type"":""Point"",""coordinates"":[-6.3918932990971,54.5177792908331]}"
"01.008.006600","01.008.006600","79","{""type"":""Point"",""coordinates"":[-6.42139028695933,54.5162801092416]}"
"01.008.006700","01.008.006700","80","{""type"":""Point"",""coordinates"":[-6.49220269810233,54.513496310576]}"
"01.008.006800","01.008.006800","81","{""type"":""Point"",""coordinates"":[-6.48110597683288,54.5206749872667]}"
"01.008.006900","01.008.006900","82","{""type"":""Point"",""coordinates"":[-6.44466160344526,54.5137941602288]}"
"01.008.007000","01.008.007000","83","{""type"":""Point"",""coordinates"":[-6.39116234289754,54.486511591279]}"
"01.008.007100","01.008.007100","84","{""type"":""Point"",""coordinates"":[-6.43498306648,54.4889952049941]}"
"01.008.007200","01.008.007200","85","{""type"":""Point"",""coordinates"":[-6.53424951243865,54.5022079385203]}"
"01.008.007300","01.008.007300","86","{""type"":""Point"",""coordinates"":[-6.507521368478,54.4950648001009]}"
"01.008.007400","01.008.007400","87","{""type"":""Point"",""coordinates"":[-6.48225437535319,54.4836706308894]}"
"01.008.007500","01.008.007500","88","{""type"":""Point"",""coordinates"":[-6.46100826167305,54.4840164315647]}"
"01.008.007600","01.008.007600","89","{""type"":""Point"",""coordinates"":[-6.4603428408236,54.4668352198612]}"
"01.008.007700","01.008.007700","90","{""type"":""Point"",""coordinates"":[-6.66488839828971,54.4881672043203]}"
"01.008.007800","01.008.007800","91","{""type"":""Point"",""coordinates"":[-6.64030128605074,54.49181901656]}"
"01.008.007900","01.008.007900","92","{""type"":""Point"",""coordinates"":[-6.60700743775496,54.502252872258]}"
"01.008.008000","01.008.008000","93","{""type"":""Point"",""coordinates"":[-6.57620285919696,54.4933758752957]}"
"01.008.008100","01.008.008100","94","{""type"":""Point"",""coordinates"":[-6.59949813146195,54.4825020611078]}"
"01.008.008200","01.008.008200","95","{""type"":""Point"",""coordinates"":[-6.6532618678625,54.4688471303231]}"
"01.008.008300","01.008.008300","96","{""type"":""Point"",""coordinates"":[-6.62993515954892,54.4742688159905]}"
"01.008.008400","01.008.008400","97","{""type"":""Point"",""coordinates"":[-6.6456659657562,54.4503600906165]}"
"01.008.008500","01.008.008500","98","{""type"":""Point"",""coordinates"":[-6.60579966457057,54.4566507151562]}"
"01.008.008600","01.008.008600","99","{""type"":""Point"",""coordinates"":[-6.56129439577515,54.4768898120095]}"
"01.008.008700","01.008.008700","100","{""type"":""Point"",""coordinates"":[-6.51558679403144,54.4620368672273]}"
"01.008.008800","01.008.008800","101","{""type"":""Point"",""coordinates"":[-6.56616298563727,54.4572927717685]}"
"01.008.008900","01.008.008900","102","{""type"":""Point"",""coordinates"":[-6.58900139035992,54.4420064177453]}"
"01.008.009000","01.008.009000","103","{""type"":""Point"",""coordinates"":[-6.52442127278195,54.4378897277316]}"
"01.008.009100","01.008.009100","104","{""type"":""Point"",""coordinates"":[-6.64843595576365,54.4000358502548]}"
"01.008.009200","01.008.009200","105","{""type"":""Point"",""coordinates"":[-6.61046173544343,54.4096934306277]}"
"01.008.009300","01.008.009300","106","{""type"":""Point"",""coordinates"":[-6.56725075822892,54.4083404393315]}"
"01.008.009400","01.008.009400","107","{""type"":""Point"",""coordinates"":[-6.58339943939788,54.3601399887822]}"
"01.008.009500","01.008.009500","108","{""type"":""Point"",""coordinates"":[-6.52992861964959,54.3854305517293]}"
"01.008.009600","01.008.009600","109","{""type"":""Point"",""coordinates"":[-6.48759462213636,54.4460264284982]}"
"01.008.009700","01.008.009700","110","{""type"":""Point"",""coordinates"":[-6.42666659350632,54.4554810401999]}"
"01.008.009800","01.008.009800","111","{""type"":""Point"",""coordinates"":[-6.38165937265328,54.4385756911769]}"
"01.008.009900","01.008.009900","112","{""type"":""Point"",""coordinates"":[-6.42801667107318,54.4411578577754]}"
"01.008.010100","01.008.010100","113","{""type"":""Point"",""coordinates"":[-6.44790105315392,54.4283614987956]}"
"01.008.010200","01.008.010200","114","{""type"":""Point"",""coordinates"":[-6.40311488489134,54.4123676949383]}"
"01.008.010300","01.008.010300","115","{""type"":""Point"",""coordinates"":[-6.47308432916672,54.4079461987551]}"
"01.008.010400","01.008.010400","116","{""type"":""Point"",""coordinates"":[-6.45986535299716,54.3949394858235]}"
"01.008.010500","01.008.010500","117","{""type"":""Point"",""coordinates"":[-6.43164432049729,54.4088396840845]}"
"01.008.010600","01.008.010600","118","{""type"":""Point"",""coordinates"":[-6.40625481368579,54.383715915724]}"
"01.008.010700","01.008.010700","119","{""type"":""Point"",""coordinates"":[-6.44575010455634,54.366895218337]}"
"01.008.010800","01.008.010800","120","{""type"":""Point"",""coordinates"":[-6.35263480499268,54.3377452513456]}"
"01.008.010900","01.008.010900","121","{""type"":""Point"",""coordinates"":[-6.46401915329189,54.3208742388664]}"
"01.008.011000","01.008.011000","122","{""type"":""Point"",""coordinates"":[-6.69844105154852,54.288356063207]}"
"01.009.002700","01.009.002700","123","{""type"":""Point"",""coordinates"":[-6.24200424565646,54.5880032353488]}"
"01.009.002800","01.009.002800","124","{""type"":""Point"",""coordinates"":[-6.03181086458521,54.5058283271414]}"
"01.009.002900","01.009.002900","125","{""type"":""Point"",""coordinates"":[-5.98923125459943,54.4825704674995]}"
"01.009.003000","01.009.003000","126","{""type"":""Point"",""coordinates"":[-5.7990268050077,54.5181845359825]}"
"01.009.003100","01.009.003100","127","{""type"":""Point"",""coordinates"":[-6.16614911411253,54.316593442717]}"
"01.009.003200","01.009.003200","128","{""type"":""Point"",""coordinates"":[-5.98422645488677,54.3706321008193]}"
"01.011.012600","01.011.012600","129","{""type"":""Point"",""coordinates"":[-6.49445885031343,54.2124132194045]}"
"01.011.012700","01.011.012700","130","{""type"":""Point"",""coordinates"":[-6.37389224325404,54.2901113404321]}"
"01.011.012800","01.011.012800","131","{""type"":""Point"",""coordinates"":[-6.26536444119862,54.2315011898487]}"
"01.011.012900","01.011.012900","132","{""type"":""Point"",""coordinates"":[-6.44106118236242,54.2498528855129]}"
"01.011.013000","01.011.013000","133","{""type"":""Point"",""coordinates"":[-6.36854922112207,54.2373556469336]}"
"01.011.013100","01.011.013100","134","{""type"":""Point"",""coordinates"":[-6.41121437215187,54.2154443918245]}"
"01.011.013200","01.011.013200","135","{""type"":""Point"",""coordinates"":[-6.36610188736595,54.1926971294664]}"
"01.011.013300","01.011.013300","136","{""type"":""Point"",""coordinates"":[-6.3313661081582,54.2159513190002]}"
"01.011.013400","01.011.013400","137","{""type"":""Point"",""coordinates"":[-6.27012019240107,54.205520424125]}"
"01.011.013500","01.011.013500","138","{""type"":""Point"",""coordinates"":[-6.23850035238197,54.1687667502202]}"
"01.011.013600","01.011.013600","139","{""type"":""Point"",""coordinates"":[-6.2434797259943,54.1345120986722]}"
"01.011.013700","01.011.013700","140","{""type"":""Point"",""coordinates"":[-6.21975434778733,54.1486644411669]}"
"01.011.013800","01.011.013800","141","{""type"":""Point"",""coordinates"":[-6.21514677320822,54.1282625154275]}"
"01.011.013900","01.011.013900","142","{""type"":""Point"",""coordinates"":[-6.21502837444862,54.1098337608547]}"
"01.011.014000","01.011.014000","143","{""type"":""Point"",""coordinates"":[-6.19515093272386,54.1644635360558]}"
"01.011.014100","01.011.014100","144","{""type"":""Point"",""coordinates"":[-6.1683964207604,54.1506501948395]}"
"01.011.014200","01.011.014200","145","{""type"":""Point"",""coordinates"":[-6.18088008930162,54.1069351789346]}"
"01.011.014300","01.011.014300","146","{""type"":""Point"",""coordinates"":[-6.20141407943148,54.0888082042819]}"
"01.011.014400","01.011.014400","147","{""type"":""Point"",""coordinates"":[-6.26140669737106,54.1034347526101]}"
"01.011.014500","01.011.014500","148","{""type"":""Point"",""coordinates"":[-6.19107629070914,54.0529254716739]}"
"01.011.014600","01.011.014600","149","{""type"":""Point"",""coordinates"":[-6.17568234139907,54.0727563168724]}"
"01.011.014700","01.011.014700","150","{""type"":""Point"",""coordinates"":[-6.16809905136844,54.0880787636443]}"
"01.011.014800","01.011.014800","151","{""type"":""Point"",""coordinates"":[-6.15284260570768,54.0775967331849]}"
"01.011.014900","01.011.014900","152","{""type"":""Point"",""coordinates"":[-6.14480267048698,54.0659090762561]}"
"01.011.015000","01.011.015000","153","{""type"":""Point"",""coordinates"":[-6.14905451929408,54.1032346191538]}"
"01.011.015100","01.011.015100","154","{""type"":""Point"",""coordinates"":[-6.14237227467091,54.0831266339163]}"
"01.011.015200","01.011.015200","155","{""type"":""Point"",""coordinates"":[-6.14598352500846,54.0569110265252]}"
"01.011.015300","01.011.015300","156","{""type"":""Point"",""coordinates"":[-6.13514827986363,54.1440055631114]}"
"01.011.015400","01.011.015400","157","{""type"":""Point"",""coordinates"":[-6.12306952831741,54.0063360690012]}"
"01.011.015500","01.011.015500","158","{""type"":""Point"",""coordinates"":[-6.08509155745282,54.0125007806053]}"
"01.011.015600","01.011.015600","159","{""type"":""Point"",""coordinates"":[-6.04461236354994,53.9949161878097]}"
"01.011.015700","01.011.015700","160","{""type"":""Point"",""coordinates"":[-6.05789303974263,53.9600965297585]}"
"01.011.015800","01.011.015800","161","{""type"":""Point"",""coordinates"":[-6.0910379559979,54.0792180117456]}"
"01.012.003000","01.012.003000","162","{""type"":""Point"",""coordinates"":[-5.5393992579933,54.3910350089384]}"
"01.012.015900","01.012.015900","163","{""type"":""Point"",""coordinates"":[-5.93931072558951,54.0710809149207]}"
"01.012.016000","01.012.016000","164","{""type"":""Point"",""coordinates"":[-5.85310484519174,54.2129276671337]}"
"01.013.016000","01.013.016000","165","{""type"":""Point"",""coordinates"":[-6.23716801579203,54.0521056346114]}"
"01.013.016100","01.013.016100","166","{""type"":""Point"",""coordinates"":[-6.4873311183135,53.9907136736356]}"
"01.013.016200","01.013.016200","167","{""type"":""Point"",""coordinates"":[-6.54113011408376,53.8337090488572]}"
"01.013.016300","01.013.016300","168","{""type"":""Point"",""coordinates"":[-6.14724528817796,53.9545011088174]}"
"01.013.016400","01.013.016400","169","{""type"":""Point"",""coordinates"":[-6.12405488600692,53.9352027249402]}"
"01.013.016500","01.013.016500","170","{""type"":""Point"",""coordinates"":[-6.13489729604512,53.9148921848302]}"
"01.013.016600","01.013.016600","171","{""type"":""Point"",""coordinates"":[-6.1892119712385,53.8851351859943]}"
"01.013.016700","01.013.016700","172","{""type"":""Point"",""coordinates"":[-6.25136752002113,53.8680783100664]}"
"01.013.016800","01.013.016800","173","{""type"":""Point"",""coordinates"":[-6.16221680855429,53.7877514983879]}"
"01.014.017200","01.014.017200","174","{""type"":""Point"",""coordinates"":[-7.25783545518469,53.4638864553995]}"
"01.014.017300","01.014.017300","175","{""type"":""Point"",""coordinates"":[-7.42170580961898,53.3727570252479]}"
"01.014.017500","01.014.017500","176","{""type"":""Point"",""coordinates"":[-7.4004937785191,53.2416993067281]}"
"01.014.017600","01.014.017600","177","{""type"":""Point"",""coordinates"":[-7.18505228761371,53.2654724444241]}"
"01.014.017700","01.014.017700","178","{""type"":""Point"",""coordinates"":[-7.25921797988592,53.2208636141639]}"
"01.014.017800","01.014.017800","179","{""type"":""Point"",""coordinates"":[-7.27206477946753,53.1852113243749]}"
"01.014.017900","01.014.017900","180","{""type"":""Point"",""coordinates"":[-7.24381280900921,53.1153822407043]}"
"01.014.018000","01.014.018000","181","{""type"":""Point"",""coordinates"":[-7.11035947316706,53.6012473804007]}"
"01.014.018100","01.014.018100","182","{""type"":""Point"",""coordinates"":[-7.05815484814122,53.5157636549083]}"
"01.014.018200","01.014.018200","183","{""type"":""Point"",""coordinates"":[-7.06253029774934,53.4601163723661]}"
"01.014.018300","01.014.018300","184","{""type"":""Point"",""coordinates"":[-7.02484854528694,53.4688425042712]}"
"01.014.018400","01.014.018400","185","{""type"":""Point"",""coordinates"":[-7.05168962080135,53.4503031660766]}"
"01.014.018500","01.014.018500","186","{""type"":""Point"",""coordinates"":[-7.04114529582084,53.433496572803]}"
"01.014.018600","01.014.018600","187","{""type"":""Point"",""coordinates"":[-7.04851616489757,53.3701851537117]}"
"01.014.018700","01.014.018700","188","{""type"":""Point"",""coordinates"":[-7.13049665313007,53.4157746003948]}"
"01.014.018800","01.014.018800","189","{""type"":""Point"",""coordinates"":[-7.10333581680822,53.2708799570311]}"
"01.015.016200","01.015.016200","190","{""type"":""Point"",""coordinates"":[-6.66867737203391,53.6019119996032]}"
"01.015.016900","01.015.016900","191","{""type"":""Point"",""coordinates"":[-6.37365095952825,53.5383654275244]}"
"01.016.017000","01.016.017000","192","{""type"":""Point"",""coordinates"":[-5.66638508456781,53.7602913355731]}"
"01.016.017100","01.016.017100","193","{""type"":""Point"",""coordinates"":[-5.3867849827657,53.4951823385256]}"
"01.017.018900","01.017.018900","194","{""type"":""Point"",""coordinates"":[-7.18937264778301,52.877674077889]}"
"01.017.019000","01.017.019000","195","{""type"":""Point"",""coordinates"":[-6.9194716457113,53.1041965175216]}"
"01.018.019100","01.018.019100","196","{""type"":""Point"",""coordinates"":[-5.99351587705095,53.3990710401809]}"
"01.018.019200","01.018.019200","197","{""type"":""Point"",""coordinates"":[-5.81934355289311,53.276046725569]}"
"01.018.019300","01.018.019300","198","{""type"":""Point"",""coordinates"":[-6.05617641611388,53.1804704245897]}"
"01.018.019400","01.018.019400","199","{""type"":""Point"",""coordinates"":[-5.96161245467478,53.0464756516244]}"
"01.018.019500","01.018.019500","200","{""type"":""Point"",""coordinates"":[-6.21948368078079,53.0685574495935]}"
